location.district,operation_type.name,property_type,build_area,longitud,latitud,years_old,bathrooms,bedrooms,garages,has_swimming_pool,usd_price
san isidro,Comprar,departamento,189.0,-77.05067199999999,-12.095417452439532,4.0,4.0,2.0,2.0,True,380000.0
san borja,Comprar,departamento,600.0,-76.9824491,-12.1063715,11.0,5.0,5.0,3.0,False,1368000.0
barranco,Comprar,departamento,212.0,-77.0218837,-12.1368942,4.0,3.0,3.0,2.0,False,3000.0
miraflores,Alquilar,departamento,49.0,-77.029808,-12.127838699999998,4.0,2.0,2.0,2.0,False,320.0
pueblo libre,Alquilar,departamento,88.0,-77.076916,-12.070450092044904,15.0,2.0,3.0,0.0,False,580.0
san isidro,Comprar,departamento,65.0,-77.0448837,-12.1032698,3.0,3.0,2.0,2.0,False,75000.0
lince,Alquilar,departamento,30.0,-77.028349,-12.088986,36.0,2.0,2.0,0.0,False,219.747
callao,Comprar,casa,6.0,-77.1207679,-12.072052699999999,30.0,2.0,3.0,1.0,False,55000.0
miraflores,Comprar,departamento,112.0,-77.02290769999998,-12.133578199999999,1.0,3.0,2.0,2.0,False,425000.0
santiago de surco,Comprar,departamento,40.0,-76.99544399999999,-12.117631047599273,15.0,3.0,3.0,1.0,False,580.0
miraflores,Alquilar,departamento,130.0,-77.025149,-12.132847401048524,7.0,3.0,2.0,1.0,False,637.0
la molina,Comprar,departamento,104.0,-76.93842020000001,-12.1007211,14.0,2.0,3.0,0.0,False,154000.0
jesus maria,Alquilar,departamento,242.0,-77.0438877,-12.0748421,3.0,1.0,3.0,0.0,False,170000.0
los olivos,Comprar,departamento,160.0,-77.07544320000001,-12.011664999999999,11.0,2.0,3.0,0.0,False,2000.0
miraflores,Comprar,departamento,86.0,-77.012222,-12.1122464,0.0,2.0,1.0,0.0,False,88000.0
miraflores,Comprar,departamento,331.0,-77.0434934,-12.1126927,0.0,3.0,2.0,0.0,False,3200.0
miraflores,Comprar,departamento,50.0,-77.0265804,-12.12204,0.0,4.0,3.0,0.0,False,650.0
miraflores,Comprar,departamento,141.0,-77.01542380000001,-12.1176636,0.0,4.0,3.0,0.0,False,390000.0
santiago de surco,Comprar,departamento,60.0,-76.9616688,-12.0857894,8.0,4.0,3.0,0.0,False,470.0
miraflores,Comprar,departamento,217.0,-77.0260809,-12.1266433,9.893229,2.0,3.0,0.0,False,2500.0
lurin,Comprar,casa,116.0,-76.8929771,-12.2291587,7.0,3.0,3.0,0.0,False,1160.0
miraflores,Comprar,departamento,192.0,-77.04814475026245,-12.115517446873255,12.0,3.0,3.0,0.0,False,485000.0
miraflores,Comprar,departamento,65.0,-77.03159129999999,-12.111061999999999,0.0,3.0,2.0,0.0,False,485.0
santiago de surco,Comprar,departamento,249.0,-76.9799116343933,-12.112557819876207,9.893229,2.0,3.0,0.0,False,4000.0
la molina,Comprar,departamento,558.0,-76.96179959999998,-12.085336400000001,9.893229,3.0,3.0,0.0,False,1500000.0
san martin de porres,Comprar,casa,48.0,-77.07285339999999,-12.017921800000002,9.893229,4.0,5.0,0.0,False,354.0
miraflores,Comprar,departamento,280.0,-77.03159129999999,-12.111061999999999,0.0,3.0,2.0,0.0,False,1845.872
miraflores,Comprar,departamento,104.0,-77.03159129999999,-12.111061999999999,0.0,4.0,2.0,0.0,False,791.0
miraflores,Comprar,departamento,72.0,-77.03159129999999,-12.111061999999999,0.0,3.0,2.0,0.0,False,209000.0
san borja,Alquilar,departamento,50.0,-77.00961439999998,-12.1063852,10.0,2.0,3.0,1.0,False,484.0
miraflores,Comprar,departamento,90.0,-77.04061469999998,-12.118154800000001,0.0,4.0,2.0,0.0,False,145000.0
santiago de surco,Comprar,departamento,220.0,-76.98301886444625,-12.119658186814474,8.0,5.0,4.0,2.0,False,420000.0
miraflores,Alquilar,departamento,126.0,-77.04485587829589,-12.11599735059059,1.0,2.0,1.0,1.0,False,950.0
santiago de surco,Comprar,casa,4.0,-76.97223189623712,-12.09403491128088,25.0,3.0,3.0,4.0,False,18000.0
santiago de surco,Comprar,departamento,100.0,-76.9764124,-12.1288893,24.0,2.0,3.0,1.0,False,421.0
san borja,Comprar,departamento,250.0,-77.00037394883725,-12.098077064120199,14.0,2.0,4.0,1.0,False,6377.0
santiago de surco,Comprar,departamento,131.0,-76.97513889999998,-12.103858500000001,6.0,4.0,3.0,2.0,False,210000.0
miraflores,Comprar,departamento,108.0,-76.99166749999998,-12.1214359,0.0,5.0,3.0,0.0,False,155000.0
miraflores,Alquilar,departamento,600.0,-77.0295668,-12.1171462,0.0,3.0,2.0,1.0,True,3000.0
san borja,Alquilar,departamento,70.0,-76.9886765,-12.0927773,13.0,2.0,3.0,0.0,False,69000.0
san borja,Alquilar,departamento,34.0,-76.9886765,-12.0927773,13.0,2.0,3.0,0.0,False,550.0
miraflores,Alquilar,departamento,221.0,-77.0240072,-12.1272606,0.0,2.0,2.0,2.0,True,330000.0
miraflores,Alquilar,departamento,36.0,-77.0266515,-12.1244769,10.0,3.0,3.0,2.0,False,59500.0
miraflores,Alquilar,departamento,30.0,-77.0431333,-12.1178145,7.0,3.0,3.0,1.0,False,319.0
miraflores,Comprar,departamento,284.0,-77.037736,-12.1208179,0.0,4.0,2.0,0.0,False,175000.0
santiago de surco,Comprar,departamento,210.0,-76.9880677,-12.1569543,0.0,3.0,3.0,2.0,False,1050.0
miraflores,Comprar,departamento,181.0,-77.03568940000001,-12.1256416,12.0,2.0,3.0,2.0,False,140000.0
santiago de surco,Comprar,departamento,300.0,-76.991815,-12.141294134612243,0.0,3.0,3.0,2.0,False,2500.0
san miguel,Alquilar,departamento,169.0,-77.09842499999998,-12.062843800000001,0.0,2.0,2.0,0.0,False,490000.0
miraflores,Comprar,departamento,329.0,-77.03159129999999,-12.111061999999999,0.0,3.0,2.0,1.0,False,350000.0
magdalena,Comprar,departamento,90.0,-77.07016899999999,-12.09012235598026,0.0,2.0,2.0,0.0,False,331.0
miraflores,Comprar,departamento,70.0,-77.03159129999999,-12.111061999999999,0.0,3.0,2.0,0.0,False,1000.0
chorrillos,Comprar,departamento,160.0,-77.022935,-12.156615482174402,0.0,3.0,3.0,1.0,False,220000.0
santiago de surco,Comprar,departamento,93.0,-76.9979326143,-12.122889116600001,0.0,2.0,3.0,0.0,False,800.0
chorrillos,Comprar,departamento,84.0,-77.0074502,-12.1848841,0.0,3.0,3.0,1.0,False,80000.0
san martin de porres,Comprar,casa,85.0,-77.0728541,-12.0179227,20.0,4.0,5.0,0.0,False,198000.0
santiago de surco,Comprar,departamento,140.0,-76.9743623,-12.0982099,0.0,4.0,3.0,1.0,False,320000.0
jesus maria,Comprar,casa,106.0,-77.03790359999998,-12.075774699999998,78.0,1.0,3.0,0.0,False,210000.0
santiago de surco,Comprar,departamento,106.0,-76.9945843513,-12.124103693299999,0.0,4.0,3.0,2.0,False,850.0
miraflores,Comprar,departamento,120.0,-77.0291445,-12.1293778,12.0,1.0,1.0,1.0,False,1050.0
magdalena,Comprar,departamento,320.0,-77.05792629999998,-12.096592300000001,12.0,2.0,3.0,1.0,False,960000.0
miraflores,Alquilar,departamento,200.0,-77.038156,-12.119856868043357,16.0,3.0,3.0,0.0,False,185000.0
ancon,Comprar,casa,60.0,-77.193436,-11.768260787300722,0.0,3.0,3.0,1.0,True,97000.0
magdalena,Comprar,casa,43.0,-77.065208,-12.0863145,57.0,1.0,3.0,0.0,False,55000.0
ancon,Comprar,casa,64.0,-77.1935,-11.768281793942936,0.0,3.0,3.0,1.0,True,98000.0
villa maria del triunfo,Comprar,casa,200.0,-76.9553158,-12.1577337,11.0,5.0,10.0,2.0,False,1700000.0
barranco,Comprar,departamento,180.0,-77.02256369999998,-12.1403492,4.0,1.0,1.0,1.0,True,200000.0
santiago de surco,Comprar,casa,75.0,-76.9936785,-12.125086900000001,45.0,5.0,4.0,4.0,False,199227.0
surquillo,Comprar,departamento,160.0,-77.0002463,-12.1163085,4.0,3.0,2.0,2.0,False,310000.0
miraflores,Comprar,departamento,160.0,-77.02767779999998,-12.131636,8.0,4.0,3.0,2.0,False,739.0
miraflores,Comprar,departamento,47.0,-77.0337893,-12.125127,13.0,3.0,3.0,2.0,False,140000.0
san miguel,Alquilar,departamento,176.0,-77.09279049999998,-12.0871228,0.0,2.0,2.0,1.0,True,2997.0
miraflores,Alquilar,departamento,180.0,-77.12383930000001,-12.066301199999998,0.0,2.0,2.0,1.0,False,495000.0
san isidro,Alquilar,departamento,176.0,-77.05045729999998,-12.0967078,21.0,2.0,3.0,2.0,False,2997.0
santiago de surco,Comprar,casa,242.0,-76.98831379999999,-12.163473199999999,30.0,4.0,4.0,4.0,False,520000.0
santiago de surco,Comprar,departamento,297.0,-77.02287539999998,-12.1969961,24.0,2.0,3.0,2.0,False,530000.0
miraflores,Alquilar,casa,186.0,-77.0086467,-12.1293699,48.0,2.0,4.0,2.0,False,1250.0
carabayllo,Comprar,casa,150.0,-77.03923689999998,-11.8263849,10.0,4.0,6.0,1.0,False,1220.815
san isidro,Comprar,departamento,186.0,-77.044719,-12.096199989031534,11.0,3.0,3.0,3.0,False,2800.0
jesus maria,Comprar,departamento,250.0,-77.0541571,-12.083538,13.0,2.0,3.0,1.0,False,249000.0
san borja,Alquilar,departamento,92.0,-77.007537,-12.091753581008787,11.0,2.0,3.0,1.0,False,367.0
miraflores,Alquilar,departamento,98.0,-77.0175689,-12.1234242,22.0,1.0,1.0,0.0,False,145000.0
san miguel,Comprar,casa,211.0,-77.0909662,-12.0768272,2.0,11.0,3.0,1.0,False,2000.0
lince,Comprar,casa,1078.0,-77.03448900000001,-12.079626498191075,46.0,2.0,3.0,0.0,False,950000.0
san isidro,Alquilar,departamento,80.0,-77.03274499999999,-12.092835217953846,2.0,1.0,2.0,0.0,True,625.0
san isidro,Comprar,departamento,63.0,-77.032795,-12.093092463957241,2.0,2.0,2.0,0.0,False,126000.0
santiago de surco,Alquilar,departamento,115.0,-77.000919,-12.1379341,1.0,2.0,3.0,0.0,False,250000.0
miraflores,Comprar,departamento,60.0,-77.02604149999998,-12.1282915,7.0,1.0,1.0,1.0,True,561.0
callao,Comprar,departamento,70.0,-77.112646,-11.996638699999998,10.0,1.0,2.0,0.0,False,87000.0
pueblo libre,Alquilar,departamento,82.0,-77.06949879999998,-12.0793775,46.0,2.0,3.0,0.0,False,230000.0
ate,Alquilar,departamento,90.0,-76.9826035,-12.074742800000001,7.0,1.0,2.0,0.0,False,341.828
pueblo libre,Alquilar,departamento,250.0,-77.0746578,-12.0759517,0.0,2.0,2.0,1.0,False,295000.0
santiago de surco,Comprar,casa,48.0,-77.002599,-12.1349899,8.0,5.0,6.0,4.0,False,439.493
lima,Comprar,departamento,73.0,-77.06757579999999,-12.053131800000001,60.0,2.0,6.0,3.0,False,120000.0
san miguel,Comprar,casa,1219.0,-77.09215739999998,-12.0741038,40.0,3.0,6.0,1.0,False,2000000.0
san miguel,Comprar,departamento,60.0,-77.09631209999998,-12.0799065,24.0,3.0,4.0,0.0,False,582.0
san miguel,Comprar,casa,65.0,-77.0966196,-12.072522300000001,45.0,2.0,5.0,2.0,False,331.0
san miguel,Comprar,casa,154.0,-77.10362532665862,-12.075092758996432,30.0,2.0,0.0,2.0,False,270000.0
san isidro,Alquilar,departamento,2.0,-77.0440558,-12.108868600000001,11.0,3.0,3.0,2.0,False,13000.0
san miguel,Comprar,departamento,60.0,-77.09493549999998,-12.077681199999999,6.0,2.0,2.0,1.0,False,500.0
miraflores,Alquilar,departamento,77.0,-77.0263858,-12.117714999999999,0.0,2.0,2.0,0.0,False,1000.0
san isidro,Alquilar,departamento,200.0,-77.0426945,-12.094649,0.0,2.0,2.0,0.0,False,811012.0
santiago de surco,Alquilar,departamento,65.0,-76.9728031,-12.0969461,4.0,3.0,3.0,1.0,False,599.0
miraflores,Comprar,departamento,92.0,-77.01726029999998,-12.1215041,0.0,3.0,2.0,1.0,False,160000.0
san isidro,Alquilar,departamento,350.0,-77.0440558,-12.108868600000001,6.0,2.0,3.0,2.0,False,2000.0
miraflores,Comprar,departamento,220.0,-77.04010749999998,-12.123011300000002,0.0,3.0,3.0,1.0,False,1199.0
barranco,Alquilar,departamento,133.0,-77.02364519999998,-12.157272099999998,2.0,3.0,3.0,1.0,False,1525.0
miraflores,Comprar,departamento,107.0,-77.02956410000002,-12.1278371,7.0,3.0,3.0,1.0,False,1000.0
lurigancho,Comprar,departamento,130.0,-76.87778060000002,-12.0040124,2.0,2.0,3.0,0.0,False,1100.0
san borja,Comprar,casa,55.0,-76.9935637,-12.105454199999999,37.0,4.0,7.0,1.0,False,599.0
miraflores,Alquilar,departamento,143.0,-77.02628940000001,-12.0627539,0.0,2.0,2.0,1.0,False,310000.0
miraflores,Comprar,departamento,187.0,-77.03972759999998,-12.120107699999998,2.0,2.0,4.0,2.0,False,320000.0
miraflores,Comprar,departamento,95.0,-77.02453059999998,-12.133244,1.0,3.0,3.0,3.0,False,749.0
santiago de surco,Comprar,departamento,80.0,-76.97899699999999,-12.114590915483687,0.0,3.0,3.0,2.0,False,1000.0
san isidro,Comprar,departamento,75.0,-77.0363325,-12.097180300000002,53.0,2.0,3.0,1.0,False,331.0
miraflores,Comprar,departamento,10.0,-77.0289646,-12.127882199999998,7.0,2.0,1.0,1.0,False,139.173
san isidro,Comprar,departamento,152.0,-77.04710797124349,-12.103024239457671,0.0,3.0,3.0,2.0,False,329000.0
san isidro,Comprar,departamento,112.0,-77.04751228703309,-12.103044013530017,7.0,3.0,3.0,4.0,False,295000.0
san isidro,Comprar,departamento,111.0,-77.05401765347291,-12.095551439198472,0.0,2.0,3.0,1.0,False,196350.0
magdalena,Comprar,departamento,145.0,-77.062836,-12.09920124979964,0.0,3.0,3.0,1.0,True,947.0
san isidro,Comprar,departamento,60.0,-77.043751,-12.093967999999998,7.0,2.0,3.0,2.0,True,115295.0
miraflores,Comprar,departamento,398.0,-77.041849,-12.110982975210886,7.0,2.0,3.0,2.0,False,870000.0
san isidro,Comprar,departamento,202.0,-77.040043162735,-12.108064218126726,7.0,2.0,3.0,2.0,False,800000.0
san isidro,Comprar,departamento,92.0,-77.04734,-12.103055842143938,3.0,4.0,4.0,3.0,True,700.0
pueblo libre,Comprar,departamento,95.0,-77.06471565092619,-12.069657220857351,0.0,2.0,3.0,1.0,False,129500.0
pueblo libre,Comprar,departamento,65.0,-77.06458,-12.069715325096526,0.0,2.0,2.0,1.0,False,293.0
pueblo libre,Comprar,departamento,75.0,-77.064601,-12.069726,0.0,3.0,3.0,1.0,False,53.0
pueblo libre,Comprar,departamento,200.0,-77.064515,-12.069725816759618,0.0,2.0,2.0,1.0,False,92.782
san isidro,Comprar,departamento,90.0,-77.04078299999999,-12.095979394496348,0.0,4.0,3.0,3.0,False,328.0
san isidro,Comprar,departamento,180.0,-77.042135,-12.096605867554247,0.0,2.0,2.0,2.0,False,816.0
san isidro,Comprar,departamento,87.0,-77.047372,-12.103118784273038,3.0,3.0,3.0,3.0,False,800.0
san isidro,Comprar,departamento,360.0,-77.04474,-12.098528897677749,1.0,4.0,4.0,4.0,False,2000.0
san isidro,Comprar,departamento,320.0,-77.0438983,-12.108019,23.0,2.0,3.0,4.0,False,970000.0
san isidro,Comprar,casa,180.0,-77.05510600000001,-12.105888106211786,30.0,3.0,3.0,1.0,False,495000.0
miraflores,Comprar,departamento,100.0,-77.029057,-12.129422312974189,21.0,1.0,1.0,1.0,False,129000.0
san isidro,Alquilar,departamento,89.0,-77.033835,-12.102298021497944,6.0,4.0,4.0,3.0,False,150000.0
san isidro,Comprar,departamento,69.0,-77.033803,-12.102214098398054,0.0,4.0,4.0,3.0,False,650.0
san isidro,Comprar,departamento,132.0,-77.04943089428711,-12.1031128169945,50.0,3.0,3.0,1.0,False,720.281
barranco,Comprar,departamento,90.0,-77.02226800000001,-12.137963954043247,2.0,1.0,1.0,1.0,False,750.0
san isidro,Alquilar,departamento,334.0,-77.04728972883608,-12.095323434627126,10.0,4.0,5.0,5.0,False,789000.0
miraflores,Comprar,departamento,302.0,-77.04096154655758,-12.115123633113415,0.0,3.0,3.0,3.0,False,649000.0
san isidro,Alquilar,departamento,40.0,-77.05130553491823,-12.099214265437448,15.0,3.0,4.0,2.0,False,448.0
miraflores,Comprar,departamento,80.0,-77.019773,-12.122478,2.0,2.0,2.0,2.0,False,244.163
san isidro,Alquilar,departamento,650.0,-77.050416,-12.098814030572766,5.0,3.0,3.0,3.0,False,1380000.0
san isidro,Comprar,departamento,2137.0,-77.050411,-12.098801869913185,5.0,3.0,3.0,3.0,False,1380000.0
san isidro,Comprar,departamento,1000.0,-77.04356800000001,-12.098820039266801,10.0,2.0,3.0,2.0,True,1000000.0
san isidro,Alquilar,departamento,650.0,-77.043622,-12.099074434313026,10.0,2.0,3.0,2.0,False,1150000.0
san isidro,Comprar,departamento,205.0,-77.04143954547725,-12.106509090987576,0.0,3.0,3.0,3.0,False,350000.0
san isidro,Comprar,departamento,200.0,-77.04143954547725,-12.106509090987576,0.0,3.0,3.0,3.0,False,340000.0
san isidro,Comprar,departamento,180.0,-77.04143954547725,-12.106509090987576,0.0,4.0,4.0,3.0,False,1100.0
barranco,Comprar,departamento,44.0,-77.025033,-12.138725230908413,0.0,1.0,1.0,1.0,True,98811.0
san isidro,Comprar,departamento,110.0,-77.050147,-12.10537217033979,1.0,3.0,3.0,3.0,False,189900.0
san isidro,Comprar,departamento,50.0,-77.042236,-12.09975650580823,23.0,3.0,4.0,3.0,False,408.0
san isidro,Alquilar,departamento,280.0,-77.04522800000001,-12.095985973373836,16.0,2.0,3.0,2.0,False,1700.0
miraflores,Comprar,departamento,200.0,-77.0324181,-12.12598,3.0,3.0,4.0,2.0,True,2200.0
san isidro,Alquilar,departamento,64.0,-77.046008,-12.109172813533338,10.0,3.0,3.0,2.0,False,89000.0
san isidro,Comprar,departamento,185.0,-77.02668697605742,-12.09317692661007,0.0,1.0,1.0,0.0,False,900.0
comas,Alquilar,departamento,120.0,-77.0596349,-11.9268737,8.0,2.0,3.0,1.0,False,320000.0
san isidro,Alquilar,departamento,106.0,-77.03785950475464,-12.108184208195045,1.0,2.0,3.0,2.0,False,156000.0
san isidro,Comprar,departamento,120.0,-77.0363325,-12.097180300000002,46.0,3.0,4.0,2.0,False,274000.0
miraflores,Alquilar,departamento,142.0,-77.03726666599266,-12.12445917859538,10.0,3.0,3.0,2.0,False,299000.0
san isidro,Comprar,departamento,425.0,-77.0471530772461,-12.10310841929276,0.0,2.0,2.0,2.0,False,4000.0
jesus maria,Comprar,departamento,105.0,-77.04698244874619,-12.082305185709435,2.0,3.0,3.0,1.0,False,850.0
miraflores,Comprar,departamento,260.0,-77.01204970555727,-12.125295044741135,3.0,2.0,3.0,2.0,False,1550.0
miraflores,Comprar,departamento,90.0,-77.03481548067322,-12.118910225969007,0.0,2.0,2.0,2.0,False,311.0
comas,Alquilar,departamento,90.0,-77.0389558,-11.9611768,5.0,2.0,3.0,0.0,False,320.0
miraflores,Comprar,departamento,90.0,-77.03878268863829,-12.122248310398236,0.0,2.0,3.0,2.0,False,305.0
magdalena,Comprar,departamento,92.0,-77.06136769999998,-12.098137699999999,0.0,2.0,1.0,1.0,False,320.0
miraflores,Alquilar,departamento,90.0,-77.03630534110452,-12.112730998371855,7.0,1.0,1.0,1.0,False,317.0
miraflores,Comprar,departamento,60.0,-77.04096154655758,-12.115123633113415,0.0,1.0,1.0,2.0,False,313.0
magdalena,Comprar,departamento,95.0,-77.06760140000002,-12.084059300000002,11.0,2.0,3.0,1.0,False,250000.0
san isidro,Alquilar,departamento,122.0,-77.03908842593387,-12.098384487915759,7.0,2.0,3.0,2.0,False,195000.0
san isidro,Alquilar,departamento,75.0,-77.04937586931152,-12.095221777805126,8.0,3.0,3.0,2.0,False,436.0
san isidro,Alquilar,departamento,127.0,-77.03915136397097,-12.100384096243179,18.0,2.0,3.0,2.0,False,187000.0
san isidro,Alquilar,departamento,63.0,-77.03793516197129,-12.107977975852974,1.0,1.0,1.0,2.0,False,405.0
miraflores,Comprar,departamento,100.0,-77.04544277787085,-12.112440554236374,0.0,2.0,2.0,1.0,False,678.773
miraflores,Comprar,departamento,75.0,-77.02127360447696,-12.130300770529676,0.0,3.0,3.0,1.0,False,155000.0
miraflores,Comprar,departamento,65.0,-77.04852624760218,-12.115766502940815,20.0,4.0,5.0,2.0,False,347.0
santiago de surco,Alquilar,departamento,20.0,-77.0161246,-12.135224000000001,10.0,2.0,2.0,1.0,False,168.0
jesus maria,Comprar,departamento,35.0,-77.04655407223834,-12.066895621704461,0.0,2.0,3.0,1.0,False,160.0
miraflores,Comprar,departamento,45.0,-77.03744378518064,-12.11310064057868,0.0,2.0,3.0,2.0,False,256.0
san isidro,Comprar,departamento,65.0,-77.0435506333435,-12.10244462731522,0.0,2.0,2.0,1.0,False,331.0
miraflores,Comprar,departamento,35.0,-77.04242754739074,-12.119989665000286,0.0,2.0,2.0,2.0,False,169.0
san isidro,Alquilar,departamento,100.0,-77.04360599140165,-12.099244905084795,10.0,3.0,3.0,2.0,False,209.0
pueblo libre,Comprar,departamento,90.0,-77.0608366899353,-12.068654544642744,0.0,2.0,3.0,1.0,False,315.0
san isidro,Comprar,departamento,60.0,-77.0395207517456,-12.103552093460289,21.0,2.0,3.0,2.0,False,181.0
santiago de surco,Comprar,departamento,129.0,-76.9737701008026,-12.124464390765471,0.0,4.0,4.0,2.0,False,378000.0
santiago de surco,Comprar,departamento,84.0,-76.98396609999999,-12.1243531,23.0,3.0,3.0,1.0,False,224900.0
san isidro,Comprar,departamento,130.0,-77.050913,-12.091969407932202,5.0,2.0,1.0,2.0,False,240000.0
miraflores,Comprar,departamento,100.0,-77.04544277787085,-12.112440554236374,0.0,3.0,3.0,1.0,False,750.0
barranco,Comprar,departamento,140.0,-77.0238517326103,-12.13990970331041,0.0,1.0,1.0,1.0,False,900.0
san isidro,Alquilar,casa,131.0,-77.036845,-12.093246,41.0,3.0,5.0,5.0,True,245000.0
miraflores,Comprar,departamento,130.0,-77.02605489999998,-12.122227800000001,1.0,2.0,3.0,1.0,False,240000.0
san isidro,Comprar,casa,115.0,-77.0352838,-12.1045978,50.0,2.0,3.0,2.0,False,150000.0
jesus maria,Comprar,departamento,66.0,-77.04600699999999,-12.065997,0.0,2.0,3.0,1.0,False,420.0
san isidro,Alquilar,departamento,239.0,-77.0541625276474,-12.104009988843622,5.0,3.0,3.0,3.0,False,430000.0
santiago de surco,Comprar,casa,200.0,-76.95955469259036,-12.106125639061085,29.0,3.0,4.0,2.0,False,470000.0
santa anita,Alquilar,casa,239.0,-76.97917199999999,-12.046787725008185,6.0,2.0,2.0,0.0,False,430000.0
miraflores,Comprar,departamento,571.0,-77.01122459999999,-12.1183982,0.0,2.0,3.0,2.0,False,700000.0
miraflores,Comprar,departamento,81.0,-77.00924390000002,-12.134671800000001,1.0,3.0,3.0,3.0,True,65000.0
miraflores,Alquilar,departamento,56.0,-77.02828120000001,-12.1245465,25.0,1.0,1.0,1.0,False,76000.0
miraflores,Alquilar,departamento,94.0,-77.038952,-12.1154916,0.0,2.0,2.0,2.0,False,370.0
san isidro,Comprar,casa,89.0,-77.035326,-12.10684549364294,51.0,4.0,4.0,4.0,False,307.0
miraflores,Comprar,departamento,109.0,-77.02233100000001,-12.13776118072292,0.0,1.0,1.0,1.0,False,95000.0
los olivos,Comprar,departamento,80.0,-77.07598,-12.010737429172108,7.0,2.0,3.0,0.0,False,1200.0
san isidro,Comprar,departamento,240.0,-77.042213,-12.109985,0.0,2.0,3.0,2.0,False,610.407
san isidro,Comprar,departamento,190.0,-77.042191,-12.109964,0.0,2.0,3.0,2.0,False,4750.0
santiago de surco,Comprar,departamento,32.0,-76.98738859999999,-12.1450434,30.0,2.0,3.0,2.0,False,450.0
san isidro,Comprar,casa,55.0,-77.03598029999998,-12.100586900000001,28.0,3.0,3.0,2.0,False,790.0
san isidro,Comprar,departamento,145.0,-77.045875,-12.09631745477754,17.0,2.0,3.0,2.0,False,190000.0
san isidro,Alquilar,departamento,60.0,-77.045854,-12.096380398493574,17.0,2.0,3.0,2.0,False,600.0
miraflores,Comprar,departamento,105.0,-77.032395,-12.112484599999998,42.0,2.0,3.0,0.0,False,900.0
miraflores,Alquilar,departamento,560.0,-77.03314,-12.124261615773314,0.0,2.0,3.0,3.0,False,349000.0
miraflores,Comprar,departamento,94.0,-77.033146,-12.124266860534648,0.0,2.0,3.0,3.0,False,1250.0
san isidro,Comprar,departamento,100.0,-77.04811600000001,-12.10352849009357,50.0,2.0,3.0,1.0,False,160000.0
san isidro,Comprar,departamento,102.0,-77.03690999999999,-12.093141000000001,33.0,2.0,3.0,2.0,False,750.0
miraflores,Comprar,departamento,133.0,-77.040994,-12.114137582379087,0.0,3.0,3.0,3.0,False,900.0
san isidro,Comprar,departamento,130.0,-77.013793,-12.101507263458144,0.0,2.0,2.0,1.0,False,1200.0
san isidro,Comprar,departamento,450.0,-77.046089,-12.094263842534607,0.0,2.0,3.0,1.0,True,133529.0
pueblo libre,Comprar,departamento,70.0,-77.061115,-12.068300250211037,2.0,2.0,3.0,1.0,False,750.0
chorrillos,Comprar,departamento,100.0,-77.023179,-12.156573486601632,0.0,3.0,3.0,0.0,False,1300.0
barranco,Comprar,departamento,50.0,-77.02480189682007,-12.137652776079744,0.0,2.0,3.0,1.0,False,268.579
san isidro,Comprar,departamento,2500.0,-77.047426,-12.103034861430944,3.0,4.0,4.0,4.0,True,5398821.0
santiago de surco,Comprar,departamento,20000.0,-76.984948,-12.121607711168592,21.0,2.0,3.0,2.0,False,8490418.0
miraflores,Comprar,departamento,300.0,-77.033904,-12.116916620377653,10.0,2.0,3.0,1.0,False,1500.0
san isidro,Alquilar,departamento,90.0,-77.048563,-12.103118784273038,35.0,4.0,4.0,2.0,False,244.163
san isidro,Comprar,departamento,110.0,-77.0458191,-12.099211,25.0,3.0,4.0,2.0,False,900.0
san isidro,Alquilar,departamento,113.0,-77.04355799999999,-12.099454715116186,11.0,3.0,3.0,2.0,False,688.0
san isidro,Comprar,departamento,246.0,-77.04704,-12.098835964111005,0.0,3.0,3.0,3.0,False,420000.0
san isidro,Comprar,departamento,352.0,-77.046913,-12.098875303564625,0.0,3.0,3.0,3.0,True,300000.0
san isidro,Alquilar,departamento,200.0,-77.03616600000001,-12.103925460681918,0.0,2.0,2.0,2.0,False,2441.63
san isidro,Comprar,departamento,82.0,-77.03402179999998,-12.0970637,5.0,4.0,4.0,3.0,False,561.0
san isidro,Alquilar,departamento,651.0,-77.03402179999998,-12.0970637,5.0,4.0,4.0,3.0,False,995000.0
san isidro,Alquilar,departamento,290.0,-77.0337496,-12.101228,5.0,4.0,4.0,3.0,False,1900.0
miraflores,Alquilar,departamento,112.0,-77.04848127581022,-12.115096986503415,4.0,2.0,2.0,2.0,False,211200.977
barranco,Alquilar,departamento,112.0,-77.02459432936097,-12.137382366984408,5.0,1.0,1.0,1.0,False,239560.0
san isidro,Comprar,departamento,82.0,-77.0337496,-12.101228,5.0,4.0,4.0,3.0,False,335000.0
santiago de surco,Comprar,departamento,112.0,-76.97021140265502,-12.103380922284606,0.0,2.0,3.0,1.0,False,232283.0
san isidro,Comprar,departamento,112.0,-77.04463655733338,-12.097066976519573,0.0,3.0,3.0,3.0,False,232283.0
barranco,Comprar,departamento,95.0,-77.02441048650816,-12.141040358308489,0.0,1.0,1.0,1.0,False,416.0
san isidro,Comprar,departamento,282.0,-77.04567818154713,-12.104605003228862,0.0,4.0,3.0,4.0,False,482000.0
san isidro,Comprar,departamento,222.0,-77.04011162310525,-12.107942328320394,5.0,2.0,3.0,2.0,False,2100.0
lince,Comprar,departamento,550.0,-77.03559,-12.08970966811176,4.0,2.0,3.0,2.0,False,775000.0
