location.district,operation_type.name,property_type,build_area,longitud,latitud,years_old,bathrooms,bedrooms,garages,has_swimming_pool,usd_price
san miguel,Comprar,casa,160.0,-77.0971342,-12.069792300000001,40.0,6.0,3.0,5.0,False,245000.0
san miguel,Comprar,casa,91.0,-77.0971342,-12.069792300000001,40.0,4.0,10.0,2.0,False,150404.395
santiago de surco,Comprar,departamento,10.0,-76.969471,-12.084828119236294,12.0,3.0,3.0,2.0,False,3750000.0
santiago de surco,Alquilar,departamento,220.0,-76.9897208,-12.1396485,0.0,1.0,2.0,0.0,False,975.0
santiago de surco,Comprar,departamento,121.0,-76.96957090000001,-12.109743400000001,10.0,3.0,3.0,2.0,False,280000.0
san borja,Comprar,departamento,115.0,-76.9947088,-12.095444300000002,10.0,2.0,3.0,0.0,False,193000.0
barranco,Comprar,departamento,14.0,-77.0215125,-12.1538799,10.0,3.0,3.0,2.0,False,67388.982
miraflores,Comprar,departamento,350.0,-77.0357867,-12.1179536,12.0,3.0,3.0,1.0,False,580000.0
lince,Comprar,departamento,59.0,-77.038449,-12.0863358692245,56.0,2.0,2.0,0.0,False,91585.0
san miguel,Comprar,departamento,82.0,-77.091274,-12.083171863491454,7.0,2.0,3.0,1.0,False,145000.0
miraflores,Comprar,casa,75.0,-77.00724369999998,-12.1286468,41.0,4.0,6.0,1.0,False,850.0
lima,Comprar,departamento,68.0,-77.0331116,-12.074736999999999,0.0,2.0,3.0,0.0,False,850.0
lima,Comprar,departamento,74.0,-77.0331116,-12.074736999999999,0.0,2.0,3.0,0.0,False,112969.0
san borja,Comprar,departamento,92.0,-77.0009455,-12.0917941,27.0,1.0,3.0,0.0,False,112969.327
barranco,Comprar,departamento,106.0,-77.02409990000001,-12.1391815,1.0,3.0,2.0,2.0,False,175000.0
barranco,Alquilar,departamento,70.0,-77.02409990000001,-12.1391815,1.0,3.0,2.0,2.0,True,341.828
barranco,Alquilar,departamento,100.0,-77.0233949,-12.147344,5.0,2.0,1.0,1.0,False,750.0
lima,Comprar,departamento,343.0,-77.0331116,-12.074736999999999,0.0,2.0,3.0,0.0,False,599000.0
lima,Comprar,departamento,343.0,-77.0331116,-12.074736999999999,0.0,2.0,3.0,0.0,False,2800.0
san borja,Comprar,departamento,40.0,-76.9957182,-12.0906686,30.0,3.0,3.0,1.0,False,550.0
lince,Alquilar,departamento,89.0,-77.04287990000002,-12.0847901,5.0,1.0,2.0,0.0,False,150000.0
miraflores,Alquilar,departamento,93.0,-77.02527649999998,-12.122166199999999,4.0,3.0,3.0,1.0,False,65000.0
la molina,Comprar,casa,100.0,-76.916635,-12.084909658057242,15.0,4.0,4.0,2.0,True,650.0
la molina,Alquilar,casa,108.0,-76.916679,-12.08492539465878,15.0,4.0,4.0,2.0,True,1499.0
miraflores,Alquilar,departamento,81.0,-77.0330532,-12.1275806,21.0,1.0,1.0,1.0,False,199999.0
surquillo,Alquilar,departamento,81.0,-76.996799,-12.11217899003682,10.0,2.0,3.0,1.0,False,999.0
ancon,Comprar,casa,97.0,-77.1844619,-11.775427800000001,0.0,1.0,2.0,1.0,False,203700.0
miraflores,Alquilar,departamento,165.0,-77.0357653,-12.113952900000001,17.0,2.0,3.0,1.0,False,2599.0
san isidro,Comprar,departamento,114.0,-77.01961440000001,-12.090443400000002,40.0,2.0,3.0,1.0,False,145000.0
miraflores,Comprar,departamento,220.0,-77.02811580000002,-12.1258713,54.0,1.0,2.0,1.0,False,1367.313
barranco,Comprar,departamento,75.0,-77.0202522,-12.129048,5.0,2.0,3.0,1.0,False,63818.099
santiago de surco,Comprar,departamento,80.0,-76.9885855,-12.1488371,4.0,3.0,3.0,0.0,False,110000.0
miraflores,Comprar,departamento,76.0,-77.0376103,-12.1201575,11.0,3.0,3.0,1.0,False,98000.0
comas,Comprar,departamento,485.0,-77.05812019999998,-11.930242999999999,4.0,2.0,3.0,1.0,False,450000.0
la molina,Alquilar,departamento,48.0,-76.94987189999998,-12.067603,0.0,2.0,3.0,1.0,False,999.0
jesus maria,Comprar,departamento,350.0,-77.0540546,-12.0752409,0.0,2.0,2.0,1.0,True,580000.0
barranco,Comprar,departamento,100.0,-77.02939079999999,-12.0686067,13.0,4.0,3.0,0.0,False,854.57
santiago de surco,Comprar,departamento,79.0,-76.989958,-12.170531524104822,7.0,2.0,2.0,0.0,False,120000.0
miraflores,Comprar,departamento,140.0,-77.03614499999999,-12.125390041032448,10.0,4.0,3.0,2.0,False,235000.0
miraflores,Alquilar,departamento,500.0,-77.02668680000002,-12.129030199999999,9.0,3.0,2.0,2.0,False,9000.0
la molina,Comprar,departamento,64.0,-76.9378431,-12.1004007,11.0,3.0,3.0,1.0,False,70000.0
san isidro,Comprar,casa,75.0,-77.02885129999999,-12.1008172,45.0,4.0,4.0,1.0,False,634.824
miraflores,Alquilar,departamento,104.0,-77.032455,-12.1179937,7.0,3.0,3.0,1.0,False,488.326
santiago de surco,Comprar,departamento,607.0,-76.9885855,-12.1488371,4.0,2.0,2.0,1.0,False,1660308.256
san borja,Comprar,departamento,64.0,-77.0117657,-12.1055278,6.0,4.0,3.0,1.0,False,104501.755
lima,Comprar,departamento,84.0,-77.05026109999999,-12.047264,6.0,2.0,3.0,0.0,False,205800.0
san borja,Alquilar,departamento,500.0,-76.9871114,-12.0880911,1.0,2.0,3.0,2.0,False,3955900.0
san miguel,Alquilar,departamento,120.0,-77.09903419999998,-12.084455,4.0,2.0,3.0,1.0,True,194732.184
barranco,Alquilar,departamento,300.0,-77.0226105,-12.143444500000001,14.0,2.0,1.0,1.0,False,2000.0
miraflores,Alquilar,departamento,260.0,-77.01767609999999,-12.1275993,50.0,1.0,2.0,0.0,False,434365.939
san borja,Comprar,casa,71.0,-76.98062159999998,-12.106613900000001,10.0,4.0,4.0,3.0,True,104501.755
lince,Comprar,departamento,150.0,-77.0286983,-12.0857485,0.0,2.0,2.0,0.0,False,355000.0
lince,Comprar,departamento,95.0,-77.0286983,-12.0857485,0.0,2.0,3.0,0.0,False,245000.0
la molina,Alquilar,departamento,85.0,-76.9354922,-12.115647099999999,10.0,1.0,2.0,0.0,False,850.0
