location.district,operation_type.name,property_type.name,usd_price,total_area,years_old,bathrooms,bedrooms,garages,has_swimming_pool,lon,lat
santiago de surco,Comprar,local comercial,633000.0,178.0,0.0,1.0,0.0,0.0,False,-12.1416088,-76.9918155
santiago de surco,Comprar,local comercial,1979000.0,860.0,0.0,1.0,0.0,0.0,False,-12.1416088,-76.9918155
miraflores,Comprar,oficina,158900.0,66.0,0.0,1.0,0.0,0.0,False,-12.111062,-77.0315913
miraflores,Comprar,oficina,139900.0,57.0,0.0,1.0,0.0,0.0,False,-12.111062,-77.0315913
santiago de surco,Alquilar,oficina,1300.0,117.0,3.0,2.0,0.0,3.0,False,-12.1416088,-76.9918155
santiago de surco,Comprar,departamento,310000.0,175.0,4.0,4.0,3.0,2.0,False,-12.1230195,-76.97406389999999
miraflores,Comprar,departamento,503611.0,183.0,2.0,3.0,3.0,1.0,False,-12.1131781963,-77.0523075387
barranco,Comprar,departamento,108681.825,44.0,0.0,1.0,1.0,0.0,False,-12.1222951,-77.0348168
barranco,Comprar,departamento,108877.156,44.0,0.0,1.0,1.0,0.0,False,-12.1222951,-77.0348168
barranco,Comprar,departamento,116739.203,43.0,0.0,1.0,1.0,0.0,False,-12.1365356625,-77.0244360286
barranco,Comprar,departamento,154950.71,55.0,0.0,2.0,2.0,0.0,False,0.0,0.0
barranco,Comprar,departamento,196360.751,76.0,0.0,2.0,2.0,0.0,False,-12.1222951,-77.0348168
lima,Comprar,departamento,75000.0,58.0,13.0,2.0,3.0,0.0,False,-12.0499104,-77.0802018
barranco,Comprar,departamento,196189.837,76.0,0.0,2.0,2.0,0.0,False,-12.1222951,-77.0348168
barranco,Comprar,departamento,195506.18,76.0,0.0,2.0,2.0,0.0,False,-12.1353438433,-77.0240021333
barranco,Comprar,departamento,194627.194,76.0,0.0,2.0,2.0,0.0,False,-12.1351340615,-77.0234656914
barranco,Comprar,departamento,194456.28,76.0,0.0,2.0,2.0,0.0,False,-12.1354697123,-77.0241737946
miraflores,Comprar,departamento,782085.03,215.0,0.0,2.0,3.0,0.0,False,-12.1317904039,-77.032897345
miraflores,Comprar,departamento,936756.661,212.0,0.0,2.0,3.0,0.0,False,-12.1321680158,-77.0326613106
miraflores,Comprar,departamento,939250.053,211.0,0.0,2.0,3.0,0.0,False,-12.1321260589,-77.0325540222
san miguel,Comprar,departamento,115745.46,70.0,0.0,2.0,3.0,0.0,False,-12.0858178199,-77.1005453524
san miguel,Comprar,departamento,121932.062,69.0,0.0,2.0,3.0,0.0,False,-12.0860905866,-77.100502437
san miguel,Comprar,departamento,108262.841,62.0,0.0,2.0,2.0,0.0,False,-12.085880766,-77.0996870455
san miguel,Comprar,departamento,110423.684,70.0,0.0,2.0,3.0,0.0,False,-12.0861535327,-77.1002234873
san miguel,Comprar,departamento,117258.294,70.0,0.0,2.0,3.0,0.0,False,-12.0859227302,-77.1002234873
san miguel,Comprar,departamento,117049.0,70.0,0.0,2.0,3.0,0.0,False,-12.0860905866,-77.1000089106
san miguel,Comprar,departamento,111855.456,298.24338593974176,0.0,2.0,3.0,0.0,False,-12.0859437122,-77.0999230799
san miguel,Comprar,departamento,112611.872,70.0,0.0,2.0,3.0,0.0,False,-12.0859646943,-77.1002234873
lince,Comprar,departamento,116014.772,66.0,0.0,2.0,2.0,0.0,False,-12.0889435544,-77.0431646233
lince,Comprar,departamento,147120.159,74.0,0.0,2.0,3.0,0.0,False,-12.0896149718,-77.0428213006
lince,Comprar,departamento,135276.545,74.0,0.0,2.0,3.0,0.0,False,-12.0890274817,-77.0431646233
lince,Comprar,departamento,148765.329,76.0,0.0,2.0,3.0,0.0,False,-12.0890369887,-77.0429364371
surquillo,Comprar,departamento,103352.48,61.0,0.0,2.0,2.0,0.0,False,-12.1038532281,-77.013518481
surquillo,Comprar,departamento,111304.868,61.0,0.0,2.0,2.0,0.0,False,-12.1038322475,-77.0134111927
surquillo,Comprar,departamento,76803.174,44.0,0.0,1.0,1.0,0.0,False,-12.1039581314,-77.0130034969
surquillo,Comprar,departamento,81164.169,44.0,0.0,1.0,1.0,0.0,False,-12.1040210733,-77.0130249546
san bartolo,Comprar,departamento,225000.0,122.0,0.0,2.0,2.0,0.0,False,-12.3849381,-76.7704642
san bartolo,Comprar,departamento,218000.0,116.0,0.0,2.0,3.0,0.0,False,-12.3849381,-76.7704642
san bartolo,Comprar,departamento,218000.0,113.0,0.0,2.0,2.0,1.0,False,-12.3849381,-76.7704642
san bartolo,Comprar,departamento,498000.0,232.0,0.0,2.0,3.0,1.0,False,-12.3849381,-76.7704642
san bartolo,Comprar,departamento,292000.0,158.0,0.0,2.0,3.0,1.0,False,-12.3849381,-76.7704642
san bartolo,Comprar,departamento,317000.0,181.0,0.0,2.0,3.0,0.0,False,-12.3849381,-76.7704642
jesus maria,Comprar,departamento,245139.631,213.0,0.0,3.0,3.0,0.0,False,-12.0825241,-77.0506498
san bartolo,Comprar,departamento,369000.0,217.0,0.0,2.0,3.0,1.0,False,-12.3849381,-76.7704642
jesus maria,Comprar,departamento,145423.47,91.0,0.0,2.0,3.0,0.0,False,-12.0825241,-77.0506498
jesus maria,Comprar,departamento,138074.165,90.0,0.0,3.0,3.0,0.0,False,-12.0825241,-77.0506498
jesus maria,Comprar,departamento,131848.009,85.0,0.0,2.0,3.0,0.0,False,-12.0825241,-77.0506498
jesus maria,Comprar,departamento,103598.352,63.0,0.0,2.0,2.0,0.0,False,-12.0825241,-77.0506498
jesus maria,Comprar,departamento,137146.345,86.0,0.0,2.0,3.0,0.0,False,-12.0825241,-77.0506498
santiago de surco,Comprar,terreno-lote,634700.0,440.0,0.0,2.0,3.0,0.0,False,-12.1502832,-77.00670939999999
miraflores,Comprar,departamento,410000.0,258.0,7.0,5.0,4.0,2.0,False,-12.1206807,-77.0331456
barranco,Comprar,departamento,184000.0,43.0,0.0,1.0,1.0,0.0,False,-12.1436699,-77.0219036
barranco,Comprar,departamento,192000.0,57.0,2.0,2.0,2.0,0.0,False,-12.1436699,-77.0219036
barranco,Comprar,departamento,95000.0,28.0,0.0,1.0,1.0,0.0,False,-12.1411508,-77.0221186
barranco,Comprar,departamento,205000.0,60.0,0.0,2.0,2.0,0.0,False,-12.1436699,-77.0219036
barranco,Comprar,departamento,125000.0,36.0,0.0,1.0,1.0,0.0,False,-12.1411508,-77.0221186
barranco,Comprar,departamento,120000.0,31.0,0.0,1.0,1.0,0.0,False,-12.1411508,-77.0221186
san borja,Alquilar,local comercial,4500.0,880.0,0.0,8.0,3.0,3.0,False,-12.0848734,-76.99215989999999
santiago de surco,Comprar,departamento,609000.0,350.0,11.0,4.0,4.0,3.0,False,-12.1202225,-76.9868302
miraflores,Comprar,departamento,224313.017,138.0,0.0,3.0,2.0,0.0,False,-12.111062,-77.0315913
miraflores,Comprar,departamento,440200.0,252.0,0.0,4.0,3.0,0.0,False,-12.111062,-77.0315913
miraflores,Comprar,departamento,445996.0,255.0,0.0,4.0,3.0,0.0,False,-12.111062,-77.0315913
miraflores,Comprar,departamento,442327.0,256.0,0.0,4.0,3.0,0.0,False,-12.111062,-77.0315913
santiago de surco,Alquilar,oficina,950.0,53.0,0.0,1.0,3.0,1.0,False,-12.1017062666,-76.9685339258
santiago de surco,Alquilar,oficina,1750.0,108.0,0.0,3.0,10.0,1.0,False,-12.1018111707,-76.9685124681
santiago de surco,Alquilar,oficina,1020.0,75.0,0.0,2.0,5.0,1.0,False,-12.1016013625,-76.9684480951
pueblo libre,Comprar,departamento,119019.686,81.0,0.0,2.0,2.0,0.0,False,-12.0752423,-77.0692591
pueblo libre,Comprar,departamento,105660.552,71.0,0.0,2.0,2.0,0.0,False,-12.0752423,-77.0692591
pueblo libre,Comprar,departamento,132599.542,85.0,0.0,2.0,3.0,0.0,False,-12.0752423,-77.0692591
pueblo libre,Comprar,departamento,149737.098,93.0,0.0,2.0,3.0,0.0,False,-12.0752423,-77.0692591
pueblo libre,Comprar,departamento,120845.781,77.0,0.0,2.0,2.0,0.0,False,-12.0752423,-77.0692591
chorrillos,Comprar,casa,670000.0,486.0,11.0,3.0,3.0,3.0,True,-12.209327,-77.01065129999999
san borja,Comprar,departamento,1900000.0,402.0,3.0,3.0,3.0,3.0,False,-12.1071184,-76.9831154418
miraflores,Alquilar,local comercial,18000.0,1265.0,20.0,2.0,3.0,0.0,False,-12.1261602697,-77.0274962503
miraflores,Alquilar,oficina,18000.0,1265.0,20.0,2.0,3.0,0.0,False,-12.127146276,-77.0276249963
lince,Alquilar,departamento,183.122,35.0,18.0,1.0,1.0,0.0,False,-12.086183487474553,-77.041393
miraflores,Comprar,departamento,188051.0,69.0,0.0,2.0,2.0,1.0,False,-12.126032,-77.025981
miraflores,Comprar,departamento,772074.0,230.0,0.0,3.0,3.0,2.0,False,-12.1236605901,-77.0401892884
punta hermosa,Comprar,departamento,293518.0,177.0,0.0,3.0,4.0,2.0,False,-12.3413704765,-76.8256801792
miraflores,Comprar,oficina,113220.0,41.0,0.0,1.0,4.0,1.0,False,-12.111062,-77.0315913
miraflores,Alquilar,oficina,950.0,41.0,0.0,1.0,4.0,1.0,False,-12.111062,-77.0315913
miraflores,Alquilar,oficina,4000.0,272.0,0.0,2.0,3.0,2.0,False,-12.111062,-77.0315913
miraflores,Comprar,oficina,695000.0,272.0,0.0,2.0,3.0,2.0,False,-12.111062,-77.0315913
san isidro,Comprar,departamento,202866.718,123.0,1.0,2.0,2.0,0.0,False,-12.102365544762085,-77.03338874456307
san isidro,Comprar,departamento,202978.056,126.0,1.0,2.0,2.0,0.0,False,-12.102365544762085,-77.03338874456307
san isidro,Comprar,departamento,293632.107,188.0,1.0,2.0,2.0,0.0,False,-12.102365544762085,-77.03338874456307
miraflores,Comprar,departamento,322000.0,127.0,0.0,2.0,2.0,2.0,False,-12.120603,-77.0401028
san isidro,Comprar,departamento,337228.872,214.0,1.0,3.0,3.0,0.0,False,-12.102365544762085,-77.03338874456307
san isidro,Alquilar,local comercial,3500.0,290.0,11.0,5.0,3.0,0.0,False,-12.101919,-77.03688
san isidro,Alquilar,oficina,3500.0,290.0,11.0,5.0,3.0,0.0,False,-12.101919,-77.03688
miraflores,Comprar,departamento,425000.0,150.0,2.0,2.0,3.0,3.0,False,-12.1113711,-77.0392678
santiago de surco,Comprar,departamento,690000.0,396.0,4.0,4.0,4.0,2.0,False,-12.0866339,-76.9650881
san isidro,Alquilar,oficina,3217.0,268.0,5.0,3.0,10.0,5.0,False,-12.0994328,-77.0306692
san isidro,Comprar,departamento,189015.108,91.0,1.0,2.0,2.0,0.0,False,-12.095040746104827,-77.05403640555721
san isidro,Comprar,departamento,286824.844,154.0,1.0,3.0,3.0,0.0,False,-12.095040746104827,-77.05403640555721
san isidro,Comprar,departamento,138356.661,60.0,1.0,2.0,2.0,0.0,False,-12.095040746104827,-77.05403640555721
san borja,Comprar,departamento,479000.0,185.0,5.0,3.0,3.0,4.0,False,-12.1072131,-76.9836603
surquillo,Comprar,departamento,134000.0,90.0,9.0,2.0,3.0,1.0,False,-12.118076666283583,-77.015304
santiago de surco,Alquilar,oficina,5776.0,324.0,0.0,2.0,8.0,0.0,False,-12.0866339,-76.9650881
miraflores,Comprar,departamento,191656.0,83.0,0.0,2.0,1.0,1.0,False,-12.126032,-77.025981
miraflores,Comprar,departamento,190608.0,86.0,0.0,2.0,1.0,1.0,False,-12.126032,-77.025981
miraflores,Comprar,departamento,204609.0,95.0,0.0,2.0,2.0,1.0,False,-12.126032,-77.025981
miraflores,Comprar,departamento,208878.0,105.0,0.0,2.0,2.0,1.0,False,-12.126032,-77.025981
miraflores,Comprar,departamento,251503.0,115.0,0.0,2.0,2.0,1.0,False,-12.126032,-77.025981
miraflores,Comprar,departamento,249631.0,115.0,0.0,3.0,3.0,1.0,False,-12.126032,-77.025981
miraflores,Comprar,departamento,279139.0,134.0,0.0,3.0,3.0,1.0,False,-12.126032,-77.025981
san isidro,Alquilar,oficina,2500.0,200.0,5.0,2.0,7.0,2.0,False,-12.0937872233,-77.0287060466
miraflores,Comprar,departamento,127819.319,57.0,0.0,2.0,2.0,0.0,False,-12.111062,-77.0315913
miraflores,Comprar,departamento,108310.697,57.0,0.0,2.0,1.0,0.0,False,-12.111062,-77.0315913
miraflores,Comprar,departamento,118907.371,58.0,0.0,2.0,2.0,0.0,False,-12.111062,-77.0315913
miraflores,Comprar,departamento,130480.696,75.0,0.0,2.0,1.0,0.0,False,-12.111062,-77.0315913
san isidro,Comprar,departamento,460000.0,175.0,12.0,2.0,3.0,2.0,False,-12.0997587,-77.0362967
san isidro,Comprar,departamento,850000.0,450.0,0.0,3.0,3.0,2.0,False,-12.0997587,-77.0362967
miraflores,Comprar,oficina,204900.0,63.0,0.0,1.0,0.0,0.0,False,-12.111062,-77.0315913
punta hermosa,Comprar,departamento,241740.0,125.0,0.0,2.0,3.0,3.0,False,-12.302735,-76.7830867
punta hermosa,Comprar,departamento,385000.0,250.0,0.0,3.0,4.0,3.0,False,-12.302735,-76.7830867
san isidro,Alquilar,local comercial,9560.0,292.0,0.0,2.0,0.0,9.0,False,-12.0997587,-77.0362967
pueblo libre,Comprar,departamento,146497.787,108.0,0.0,2.0,2.0,1.0,False,-12.0678097,-77.0694625
santiago de surco,Comprar,oficina,140000.0,100.0,20.0,3.0,5.0,1.0,False,-12.1295611,-76.9831058
miraflores,Comprar,departamento,230000.0,92.0,3.0,2.0,2.0,1.0,False,-12.1215439,-77.0275713
miraflores,Comprar,departamento,640000.0,306.0,0.0,4.0,3.0,3.0,False,-12.1241848,-77.0128763
miraflores,Comprar,departamento,406000.0,159.0,0.0,3.0,2.0,2.0,False,-12.1241848,-77.0128763
miraflores,Comprar,departamento,526000.0,215.0,0.0,3.0,3.0,3.0,False,-12.1241848,-77.0128763
miraflores,Comprar,departamento,550000.0,232.0,0.0,3.0,3.0,3.0,False,-12.1241848,-77.0128763
surquillo,Comprar,departamento,72000.0,38.0,2.0,1.0,1.0,0.0,False,-12.1182819,-77.0154352
miraflores,Comprar,departamento,240000.0,108.0,10.0,2.0,1.0,1.0,False,-12.111062,-77.0315913
san borja,Comprar,departamento,256000.0,120.0,4.0,2.0,3.0,2.0,False,-12.0902456,-76.9830277
miraflores,Comprar,departamento,215000.0,91.0,12.0,2.0,2.0,2.0,False,-12.125203,-77.0060613
santiago de surco,Comprar,departamento,540000.0,333.0,20.0,3.0,4.0,4.0,False,-12.117540580888164,-76.9744947558197
miraflores,Alquilar,oficina,850.0,85.0,0.0,1.0,3.0,0.0,False,-12.106735916846857,-77.03139249973754
san isidro,Alquilar,departamento,850.0,113.0,11.0,2.0,2.0,2.0,False,-12.1078684,-77.03784209999999
la molina,Alquilar,casa,2000.0,530.0,25.0,3.0,4.0,2.0,True,-12.0976943,-76.9510851
los olivos,Comprar,departamento,62000.0,77.0,2.0,2.0,2.0,0.0,False,-11.9801382,-77.0830616
lince,Alquilar,departamento,900.0,86.0,15.0,3.0,3.0,1.0,False,-12.0871871,-77.0471926
pueblo libre,Comprar,departamento,215000.0,169.0,7.0,4.0,4.0,2.0,False,-12.0779203,-77.06630129999999
pueblo libre,Comprar,departamento,124523.119,76.0,2.0,2.0,3.0,1.0,False,-12.074283,-77.063456
san martin de porres,Alquilar,departamento,250.0,160.0,27.0,1.0,5.0,0.0,False,-12.0341649,-77.0583618
santiago de surco,Comprar,local comercial,140000.0,82.0,19.0,2.0,3.0,1.0,False,-12.1311461,-76.98652919999999
miraflores,Comprar,departamento,70000.0,33.0,0.0,1.0,1.0,0.0,False,-12.120148421062753,-77.03187482509765
magdalena,Alquilar,departamento,561.575,70.0,2.0,2.0,3.0,1.0,False,-12.088231893235935,-77.070352
puente piedra,Comprar,local comercial,488325.958,233.0,4.0,10.0,3.0,0.0,False,-11.886123810970172,-77.069354
miraflores,Comprar,departamento,210000.0,100.0,6.0,3.0,3.0,1.0,False,-12.117715,-77.0263858
santiago de surco,Comprar,departamento,313000.0,231.0,0.0,3.0,3.0,1.0,False,-12.1237859,-76.9803761
santiago de surco,Comprar,departamento,228500.0,133.0,0.0,4.0,3.0,1.0,False,-12.1237859,-76.9803761
chorrillos,Comprar,departamento,327000.0,149.0,0.0,3.0,3.0,2.0,False,-12.1685311,-77.0326402
chorrillos,Comprar,departamento,267000.0,115.0,0.0,3.0,3.0,2.0,False,-12.1685311,-77.0326402
chorrillos,Comprar,departamento,402000.0,212.0,0.0,3.0,3.0,2.0,False,-12.1685311,-77.0326402
chorrillos,Comprar,departamento,132000.0,57.0,0.0,1.0,1.0,1.0,False,-12.1685311,-77.0326402
chorrillos,Comprar,departamento,124000.0,57.0,0.0,1.0,1.0,1.0,False,-12.1685311,-77.0326402
chorrillos,Comprar,departamento,125000.0,57.0,0.0,1.0,1.0,1.0,False,-12.1685311,-77.0326402
magdalena,Comprar,departamento,150000.0,52.0,0.0,2.0,2.0,1.0,False,-12.0969248,-77.0615382
san borja,Comprar,departamento,285000.0,146.0,0.0,3.0,3.0,1.0,False,-12.0886852,-76.9821929
santiago de surco,Comprar,departamento,258000.0,144.0,0.0,3.0,2.0,2.0,False,-12.116941977266036,-76.986176
santiago de surco,Comprar,departamento,250000.0,109.0,0.0,3.0,3.0,2.0,False,-12.112767,-76.9859077
santiago de surco,Comprar,departamento,200000.0,87.0,0.0,2.0,2.0,1.0,False,-12.112767,-76.9859077
santiago de surco,Comprar,departamento,242000.0,242.0,0.0,4.0,4.0,2.0,False,-12.11723569180085,-76.985586
san borja,Comprar,departamento,215000.0,98.0,0.0,3.0,3.0,1.0,False,-12.092291424204724,-76.987783
santiago de surco,Comprar,departamento,315000.0,135.0,0.0,3.0,3.0,2.0,False,-12.112767,-76.9859077
santiago de surco,Comprar,departamento,235000.0,160.0,0.0,3.0,3.0,2.0,False,-12.1075323,-76.963899
surquillo,Comprar,departamento,125000.0,298.24338593974176,9.489178011893621,1.0,2.0,0.0,False,-12.1031828904,-77.02282209
san borja,Comprar,departamento,313000.0,151.0,0.0,3.0,3.0,2.0,False,-12.0929986,-76.9855571
san borja,Comprar,departamento,397000.0,194.0,0.0,3.0,3.0,2.0,False,-12.0929986,-76.9855571
san borja,Comprar,departamento,265000.0,120.0,0.0,4.0,3.0,2.0,False,-12.109269,-76.984473
san borja,Comprar,departamento,280000.0,124.0,0.0,4.0,3.0,2.0,False,-12.0929986,-76.9855571
san borja,Comprar,departamento,198000.0,90.0,0.0,2.0,2.0,1.0,False,-12.093875527107619,-77.004766
santiago de surco,Comprar,departamento,218400.0,122.0,0.0,3.0,3.0,1.0,False,-12.135639721541542,-76.99302
santiago de surco,Comprar,departamento,196350.0,111.0,0.0,3.0,3.0,1.0,False,-12.135964882671114,-76.993085
santiago de surco,Comprar,departamento,352260.0,272.0,0.0,4.0,3.0,2.0,False,-12.135839875493696,-76.992985
santiago de surco,Comprar,departamento,490000.0,275.0,0.0,4.0,4.0,2.0,False,-12.1008172,-77.0288513
la molina,Comprar,casa,850000.0,329.0,4.0,4.0,4.0,2.0,False,-12.0896139,-76.95494409999999
santiago de surco,Comprar,oficina,126000.0,71.0,0.0,2.0,3.0,1.0,False,-12.113441,-76.9914083
san borja,Comprar,casa,680000.0,420.0,0.0,5.0,4.0,2.0,False,-12.0967269,-76.9998686
san borja,Comprar,departamento,480000.0,200.0,0.0,4.0,3.0,2.0,False,-12.10664663868415,-76.982328
miraflores,Comprar,departamento,390000.0,158.0,0.0,3.0,3.0,2.0,False,-12.121301572455723,-77.011229
miraflores,Comprar,departamento,420000.0,200.0,0.0,4.0,3.0,2.0,False,-12.119780570436188,-77.012913
santiago de surco,Comprar,casa,750000.0,365.0,11.0,6.0,5.0,4.0,False,-12.1323757,-77.0010266
san isidro,Comprar,departamento,738000.0,246.0,0.0,3.0,3.0,2.0,False,-12.097713867070757,-77.035918
san isidro,Comprar,departamento,738000.0,246.0,0.0,3.0,3.0,2.0,False,-12.097901877613156,-77.033647
san borja,Comprar,departamento,220000.0,97.0,0.0,3.0,3.0,1.0,False,-12.0933405,-76.9945203
santiago de surco,Comprar,departamento,393000.0,260.0,0.0,4.0,4.0,2.0,False,-12.1165724,-76.99238749999999
miraflores,Alquilar,local comercial,600.0,57.0,0.0,0.0,3.0,0.0,False,-12.1150962,-77.02817739999999
santiago de surco,Comprar,departamento,440000.0,240.0,0.0,5.0,4.0,2.0,False,-12.112767,-76.9859077
santiago de surco,Comprar,departamento,260000.0,130.0,0.0,3.0,3.0,2.0,False,-12.1013103,-77.0311645
santiago de surco,Comprar,departamento,250000.0,128.0,0.0,3.0,3.0,2.0,False,-12.112767,-76.9859077
santiago de surco,Alquilar,departamento,1200.0,134.0,0.0,3.0,3.0,2.0,False,-12.112767,-76.9859077
san borja,Comprar,departamento,264990.0,120.0,0.0,4.0,3.0,2.0,False,-12.105549799900553,-76.980994
miraflores,Comprar,departamento,322000.0,125.0,0.0,3.0,3.0,1.0,False,-12.1164583,-77.0414583
miraflores,Comprar,departamento,80809.0,126.0,0.0,3.0,3.0,1.0,False,-12.1164583,-77.0414583
san borja,Comprar,departamento,690000.0,298.24338593974176,9.489178011893621,4.0,4.0,0.0,False,-12.1008172,-77.0288513
santiago de surco,Comprar,departamento,393000.0,298.24338593974176,9.489178011893621,3.0,3.0,0.0,False,-12.1379772,-76.9831556
san borja,Comprar,departamento,218000.0,98.0,0.0,3.0,3.0,3.0,False,-12.095806,-76.989274
san borja,Comprar,departamento,220000.0,97.0,0.0,2.0,3.0,1.0,False,-12.0933405,-76.9945203
san borja,Comprar,departamento,300000.0,298.24338593974176,9.489178011893621,3.0,3.0,0.0,False,-12.112767,-76.9859077
san borja,Comprar,departamento,265000.0,298.24338593974176,9.489178011893621,3.0,3.0,0.0,False,-12.112767,-76.9859077
san borja,Comprar,departamento,226000.0,298.24338593974176,9.489178011893621,3.0,3.0,0.0,False,-12.0895956025,-76.9899488153
santiago de surco,Comprar,departamento,480000.0,298.24338593974176,9.489178011893621,3.0,3.0,0.0,False,-12.1158391,-76.9818284
barranco,Comprar,departamento,118000.0,298.24338593974176,9.489178011893621,2.0,2.0,0.0,False,-12.1369762017,-77.0235348064
jesus maria,Comprar,departamento,96080.0,48.0,0.0,2.0,1.0,1.0,False,-12.0890763,-77.0544828
santiago de surco,Comprar,departamento,399576.0,182.0,0.0,4.0,3.0,2.0,False,-12.1224105,-76.97433199999999
santiago de surco,Comprar,departamento,235000.0,123.0,0.0,3.0,3.0,2.0,False,-12.1390794,-77.0058858
lince,Comprar,departamento,121000.0,70.0,0.0,2.0,2.0,0.0,False,-12.0854556,-77.0323253
santiago de surco,Comprar,departamento,430000.0,234.0,0.0,4.0,3.0,2.0,False,-12.1143566,-76.98404599999999
santiago de surco,Comprar,departamento,390000.0,212.0,0.0,4.0,3.0,2.0,False,-12.113548875538811,-76.979754
barranco,Comprar,departamento,100570.731,76.0,0.0,1.0,2.0,1.0,True,-12.1381658,-77.02352139999999
surquillo,Comprar,departamento,77027.56,43.0,0.0,2.0,1.0,1.0,False,-12.109409,-77.0194218
san borja,Comprar,departamento,295200.0,123.0,0.0,3.0,3.0,1.0,False,-12.1153851,-76.9842615
san borja,Comprar,departamento,470000.0,240.0,0.0,4.0,4.0,2.0,False,-12.0929986,-76.9855571
santiago de surco,Comprar,casa,420000.0,300.0,0.0,4.0,4.0,2.0,False,-12.1326314,-76.99166749999999
santiago de surco,Comprar,departamento,490000.0,275.0,0.0,5.0,4.0,2.0,False,-12.112345949166262,-76.980378
san isidro,Comprar,departamento,603000.0,202.0,0.0,4.0,3.0,2.0,False,-12.09561492610027,-77.035471
san isidro,Comprar,departamento,259008.088,116.0,0.0,2.0,0.0,1.0,False,-12.09396788926932,-77.033947
lince,Comprar,departamento,76279.689,97.0,0.0,2.0,2.0,1.0,False,-12.0786203,-77.03526819999999
santiago de surco,Comprar,departamento,364200.0,229.0,0.0,4.0,3.0,2.0,False,-12.128151601276752,-76.980012
santiago de surco,Comprar,casa,540000.0,350.0,15.0,4.0,4.0,2.0,False,-12.129166774546265,-76.980687
san borja,Comprar,departamento,397000.0,182.0,0.0,3.0,3.0,2.0,False,-12.09476723647687,-76.991978
san borja,Comprar,departamento,228000.0,128.0,0.0,4.0,3.0,2.0,False,-12.09734,-77.014704
san borja,Comprar,departamento,315000.0,298.24338593974176,9.489178011893621,3.0,3.0,0.0,False,-12.1062631365,-76.98341861
san borja,Comprar,casa,1350000.0,593.0,2.0,4.0,4.0,4.0,False,-12.105266562780074,-76.98403
lince,Comprar,departamento,155000.0,74.0,0.0,3.0,3.0,0.0,False,-12.0854556,-77.0323253
santiago de surco,Comprar,departamento,278000.0,136.0,0.0,3.0,3.0,2.0,False,-12.1153851,-76.9842615
san borja,Comprar,departamento,233000.0,92.0,0.0,3.0,3.0,2.0,False,-12.0933405,-76.9945203
san borja,Comprar,departamento,440450.0,225.0,0.0,3.0,3.0,2.0,False,-12.1153851,-76.9842615
santiago de surco,Comprar,departamento,166000.0,64.0,0.0,2.0,2.0,1.0,False,-12.1153851,-76.9842615
santiago de surco,Comprar,departamento,215000.0,86.0,0.0,3.0,2.0,1.0,False,-12.1153851,-76.9842615
santiago de surco,Comprar,departamento,353000.0,172.0,0.0,4.0,3.0,2.0,False,-12.124085,-76.9862035
santiago de surco,Comprar,departamento,393000.0,263.0,0.0,4.0,3.0,2.0,False,-12.1178958,-76.9760679
san borja,Comprar,departamento,470350.0,242.0,0.0,4.0,3.0,2.0,False,-12.107448529879285,-76.982592
santiago de surco,Comprar,departamento,288400.0,298.24338593974176,9.489178011893621,3.0,3.0,0.0,False,-12.1314872,-76.9823077
san borja,Comprar,departamento,218000.0,98.0,0.0,3.0,3.0,1.0,False,-12.1019108,-76.9893276
san borja,Comprar,departamento,315500.0,175.0,0.0,3.0,3.0,0.0,False,-12.093823,-76.992922
santiago de surco,Comprar,departamento,224500.0,110.0,0.0,3.0,3.0,2.0,False,-12.1336761,-76.9809836
santiago de surco,Comprar,departamento,350000.0,171.0,0.0,3.0,4.0,1.0,False,-12.1153851,-76.9842615
santiago de surco,Comprar,departamento,696000.0,228.0,0.0,2.0,3.0,2.0,False,-12.1153851,-76.9842615
santiago de surco,Comprar,departamento,275220.0,139.0,0.0,3.0,3.0,2.0,False,-12.122057,-76.9986655
miraflores,Comprar,departamento,503000.0,298.24338593974176,9.489178011893621,4.0,3.0,0.0,False,-12.1305098286,-77.0327929296
san isidro,Comprar,departamento,603000.0,298.24338593974176,9.489178011893621,4.0,3.0,0.0,False,-12.1012468809,-77.0368133201
miraflores,Comprar,departamento,747908.0,313.0,0.0,4.0,3.0,2.0,False,-12.1219461,-77.01616539999999
miraflores,Comprar,departamento,536228.0,200.0,0.0,4.0,3.0,2.0,False,-12.1219461,-77.01616539999999
san miguel,Comprar,departamento,120000.0,160.0,0.0,2.0,4.0,0.0,False,-12.0631235,-77.0978147
santiago de surco,Comprar,departamento,196350.0,111.0,0.0,3.0,3.0,1.0,False,-12.124085,-76.9862035
santiago de surco,Comprar,departamento,495000.0,300.0,0.0,4.0,4.0,2.0,False,-12.115241171039004,-76.980625
san borja,Comprar,departamento,198000.0,90.0,0.0,2.0,2.0,1.0,False,-12.0933405,-76.9945203
santiago de surco,Comprar,departamento,352260.0,272.0,0.0,3.0,3.0,2.0,False,-12.1345247,-76.9900321
santiago de surco,Comprar,departamento,294000.0,125.0,0.0,4.0,3.0,2.0,False,-12.1143566,-76.98404599999999
santiago de surco,Comprar,departamento,460000.0,243.0,0.0,4.0,3.0,2.0,False,-12.116763650426481,-76.986154
santiago de surco,Comprar,departamento,410000.0,217.0,0.0,3.0,3.0,2.0,False,-12.116543364166048,-76.986079
san borja,Comprar,departamento,397000.0,194.0,0.0,4.0,3.0,2.0,False,-12.107109725405012,-76.982945
