,location.district,operation_type.name,property_type,build_area,longitud,latitud,years_old,bathrooms,bedrooms,garages,has_swimming_pool,usd_price
0,san isidro,Alquilar,departamento,150.0,-77.01123299999998,-12.096771400000002,0.0,6.0,3.0,1.0,False,1150.0
1,santiago de surco,Comprar,departamento,117.0,-76.985639,-12.123111411464286,0.0,3.0,3.0,1.0,False,234396.0
2,miraflores,Alquilar,departamento,84.0,-77.029887,-12.11376070830611,7.0,3.0,2.0,1.0,True,1000.0
3,santiago de surco,Comprar,departamento,117.0,-76.98563089999998,-12.1230926,0.0,3.0,3.0,1.0,False,234396.0
4,barranco,Alquilar,departamento,28.0,-77.0224643,-12.1366941,0.0,1.0,1.0,0.0,True,427.0
5,pueblo libre,Comprar,departamento,69.0,-77.06837900000001,-12.070442800000002,6.0,2.0,2.0,1.0,False,122000.0
6,miraflores,Alquilar,departamento,230.0,-77.04842370000001,-12.1152552,8.0,4.0,3.0,2.0,True,561.0
7,san juan de miraflores,Comprar,casa,66.0,-76.969636,-12.157595645644856,0.0,1.0,4.0,1.0,False,341.0
8,rimac,Alquilar,departamento,51.0,-77.04301070000001,-12.0165855,0.0,2.0,2.0,0.0,True,39066.077
9,comas,Comprar,departamento,151.0,-77.0582371,-11.926917699999999,3.0,1.0,2.0,1.0,True,351594.689
10,santiago de surco,Comprar,departamento,114.0,-76.98563399999999,-12.123011760549383,0.0,4.0,3.0,2.0,False,210000.0
11,santiago de surco,Comprar,departamento,110.0,-76.98563399999999,-12.122938333535616,0.0,4.0,3.0,2.0,False,205000.0
12,santiago de surco,Comprar,departamento,77.0,-76.967671,-12.099429080603633,9.0,4.0,3.0,2.0,True,92500.0
13,san borja,Comprar,departamento,82.0,-76.9953412,-12.0879256,15.0,3.0,3.0,2.0,False,79000.0
14,san miguel,Comprar,casa,103.0,-77.0849267,-12.089098300000002,6.0,2.0,3.0,0.0,False,132885.701
15,san miguel,Comprar,departamento,100.0,-77.0849267,-12.089098300000002,6.0,2.0,3.0,0.0,False,634.824
16,lima,Comprar,departamento,74.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,103110.026
17,jesus maria,Alquilar,departamento,45.0,-77.057824,-12.089889900000001,5.0,2.0,3.0,1.0,False,415.077
18,lima,Comprar,departamento,80.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,110361.666
19,santiago de surco,Alquilar,departamento,103.0,-76.9855123,-12.1363918,31.0,1.0,1.0,0.0,False,850.0
20,lima,Comprar,departamento,100.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,800.0
21,san borja,Alquilar,departamento,180.0,-76.9915126,-12.0967446,15.0,2.0,3.0,1.0,False,1850.0
22,san borja,Alquilar,departamento,60.0,-76.9915126,-12.0967446,18.0,2.0,3.0,1.0,False,439.493
23,miraflores,Alquilar,departamento,60.0,-77.040082,-12.122947300000002,7.0,4.0,3.0,2.0,False,439.493
24,magdalena,Alquilar,departamento,100.0,-77.0623238,-12.0929416,10.0,1.0,2.0,0.0,False,600.0
25,magdalena,Alquilar,departamento,73.0,-77.06298174142457,-12.092589522646115,11.0,1.0,2.0,0.0,False,103110.026
26,barranco,Alquilar,departamento,71.0,-77.021955,-12.136815169090752,7.0,2.0,3.0,1.0,False,99349.916
27,lima,Comprar,departamento,72.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,100209.37
28,lima,Comprar,departamento,90.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,700.0
29,lima,Comprar,departamento,38.0,-77.0305813,-12.0780541,0.0,2.0,3.0,0.0,False,550.0
30,surquillo,Alquilar,departamento,80.0,-77.0069896,-12.1149014,5.0,2.0,3.0,1.0,True,780000.0
31,barranco,Alquilar,departamento,200.0,-77.0230323,-12.144503,5.0,1.0,1.0,1.0,False,780000.0
32,santiago de surco,Alquilar,departamento,83.0,-76.982445,-12.114434232198686,20.0,2.0,2.0,2.0,False,579.0
33,miraflores,Comprar,casa,20.0,-77.03160729999998,-12.109890199999999,20.0,3.0,6.0,2.0,False,231.0
34,jesus maria,Alquilar,departamento,237.0,-77.039188,-12.07555116063585,13.0,2.0,3.0,0.0,False,549500.0
35,jesus maria,Comprar,departamento,1500.0,-77.039182,-12.075506497036262,13.0,2.0,3.0,0.0,False,1434000.0
36,la molina,Comprar,casa,90.0,-76.948796,-12.092888126439163,20.0,6.0,6.0,3.0,False,560.0
37,breña,Comprar,casa,84.0,-77.05079289999998,-12.054067100000001,30.0,3.0,5.0,0.0,False,488.326
38,santiago de surco,Alquilar,departamento,84.0,-76.97769740000001,-12.0838031,12.0,2.0,2.0,0.0,False,488.326
39,pueblo libre,Comprar,departamento,180.0,-77.06501519999998,-12.0723992,1.0,2.0,3.0,1.0,True,1600.0
40,chorrillos,Alquilar,casa,180.0,-77.0074502,-12.1848841,50.0,2.0,4.0,0.0,False,2000.0
41,pueblo libre,Alquilar,departamento,200.0,-77.07432279999998,-12.073350099999999,0.0,2.0,3.0,0.0,False,340000.0
42,pueblo libre,Alquilar,departamento,155.0,-77.07432279999998,-12.073350099999999,0.0,2.0,3.0,0.0,False,320000.0
43,san borja,Alquilar,departamento,125.0,-76.99200490000001,-12.0951536,5.0,4.0,3.0,1.0,False,439.493
44,san borja,Alquilar,departamento,220.0,-77.000974,-12.0938198,5.0,4.0,3.0,1.0,False,927.819
45,santiago de surco,Comprar,departamento,100.0,-76.96878559999998,-12.1257318,8.0,5.0,4.0,4.0,False,500000.0
46,santiago de surco,Comprar,departamento,50.0,-76.98159100000001,-12.116782407423448,4.0,2.0,2.0,2.0,False,40000.0
47,ate,Alquilar,departamento,56.0,-76.97817109999998,-12.0735525,6.0,2.0,3.0,1.0,False,899.0
48,san juan de lurigancho,Comprar,casa,110.0,-77.01172199999998,-12.0130924,26.0,2.0,3.0,0.0,False,2700.0
49,lima,Comprar,departamento,130.0,-77.03907109999999,-12.050590099999999,0.0,1.0,3.0,0.0,False,900.0
50,miraflores,Alquilar,casa,54.0,-77.0307411,-12.122936900000001,25.0,1.0,1.0,0.0,False,58000.0
51,miraflores,Alquilar,departamento,768.0,-77.0099446,-12.1206825,0.0,3.0,3.0,2.0,False,380000.0
52,los olivos,Comprar,departamento,384.0,-77.07602539999998,-11.959300500000001,9.0,2.0,3.0,0.0,False,380000.0
53,santa anita,Comprar,departamento,134.0,-76.9645245,-12.0530832,20.0,1.0,2.0,0.0,False,284000.0
54,chorrillos,Comprar,departamento,52.0,-77.00475,-12.180600300000002,6.0,2.0,3.0,1.0,False,341.828
55,san miguel,Comprar,casa,160.0,-77.0971342,-12.069792300000001,40.0,6.0,3.0,5.0,False,245000.0
56,san miguel,Comprar,casa,91.0,-77.0971342,-12.069792300000001,40.0,4.0,10.0,2.0,False,150404.395
57,santiago de surco,Comprar,departamento,10.0,-76.969471,-12.084828119236294,12.0,3.0,3.0,2.0,False,3750000.0
58,santiago de surco,Alquilar,departamento,220.0,-76.9897208,-12.1396485,0.0,1.0,2.0,0.0,False,975.0
59,santiago de surco,Comprar,departamento,121.0,-76.96957090000001,-12.109743400000001,10.0,3.0,3.0,2.0,False,280000.0
60,san borja,Comprar,departamento,115.0,-76.9947088,-12.095444300000002,10.0,2.0,3.0,0.0,False,193000.0
61,barranco,Comprar,departamento,14.0,-77.0215125,-12.1538799,10.0,3.0,3.0,2.0,False,67388.982
62,miraflores,Comprar,departamento,350.0,-77.0357867,-12.1179536,12.0,3.0,3.0,1.0,False,580000.0
63,lince,Comprar,departamento,59.0,-77.038449,-12.0863358692245,56.0,2.0,2.0,0.0,False,91585.0
64,san miguel,Comprar,departamento,82.0,-77.091274,-12.083171863491454,7.0,2.0,3.0,1.0,False,145000.0
65,miraflores,Comprar,casa,75.0,-77.00724369999998,-12.1286468,41.0,4.0,6.0,1.0,False,850.0
66,lima,Comprar,departamento,68.0,-77.0331116,-12.074736999999999,0.0,2.0,3.0,0.0,False,850.0
67,lima,Comprar,departamento,74.0,-77.0331116,-12.074736999999999,0.0,2.0,3.0,0.0,False,112969.0
68,san borja,Comprar,departamento,92.0,-77.0009455,-12.0917941,27.0,1.0,3.0,0.0,False,112969.327
69,barranco,Comprar,departamento,106.0,-77.02409990000001,-12.1391815,1.0,3.0,2.0,2.0,False,175000.0
70,barranco,Alquilar,departamento,70.0,-77.02409990000001,-12.1391815,1.0,3.0,2.0,2.0,True,341.828
71,barranco,Alquilar,departamento,100.0,-77.0233949,-12.147344,5.0,2.0,1.0,1.0,False,750.0
72,lima,Comprar,departamento,343.0,-77.0331116,-12.074736999999999,0.0,2.0,3.0,0.0,False,599000.0
73,lima,Comprar,departamento,343.0,-77.0331116,-12.074736999999999,0.0,2.0,3.0,0.0,False,2800.0
74,san borja,Comprar,departamento,40.0,-76.9957182,-12.0906686,30.0,3.0,3.0,1.0,False,550.0
75,lince,Alquilar,departamento,89.0,-77.04287990000002,-12.0847901,5.0,1.0,2.0,0.0,False,150000.0
76,miraflores,Alquilar,departamento,93.0,-77.02527649999998,-12.122166199999999,4.0,3.0,3.0,1.0,False,65000.0
77,la molina,Comprar,casa,100.0,-76.916635,-12.084909658057242,15.0,4.0,4.0,2.0,True,650.0
78,la molina,Alquilar,casa,108.0,-76.916679,-12.08492539465878,15.0,4.0,4.0,2.0,True,1499.0
79,miraflores,Alquilar,departamento,81.0,-77.0330532,-12.1275806,21.0,1.0,1.0,1.0,False,199999.0
80,surquillo,Alquilar,departamento,81.0,-76.996799,-12.11217899003682,10.0,2.0,3.0,1.0,False,999.0
81,ancon,Comprar,casa,97.0,-77.1844619,-11.775427800000001,0.0,1.0,2.0,1.0,False,203700.0
82,miraflores,Alquilar,departamento,165.0,-77.0357653,-12.113952900000001,17.0,2.0,3.0,1.0,False,2599.0
83,san isidro,Comprar,departamento,114.0,-77.01961440000001,-12.090443400000002,40.0,2.0,3.0,1.0,False,145000.0
84,miraflores,Comprar,departamento,220.0,-77.02811580000002,-12.1258713,54.0,1.0,2.0,1.0,False,1367.313
85,barranco,Comprar,departamento,75.0,-77.0202522,-12.129048,5.0,2.0,3.0,1.0,False,63818.099
86,santiago de surco,Comprar,departamento,80.0,-76.9885855,-12.1488371,4.0,3.0,3.0,0.0,False,110000.0
87,miraflores,Comprar,departamento,76.0,-77.0376103,-12.1201575,11.0,3.0,3.0,1.0,False,98000.0
88,comas,Comprar,departamento,485.0,-77.05812019999998,-11.930242999999999,4.0,2.0,3.0,1.0,False,450000.0
89,la molina,Alquilar,departamento,48.0,-76.94987189999998,-12.067603,0.0,2.0,3.0,1.0,False,999.0
90,jesus maria,Comprar,departamento,350.0,-77.0540546,-12.0752409,0.0,2.0,2.0,1.0,True,580000.0
91,barranco,Comprar,departamento,100.0,-77.02939079999999,-12.0686067,13.0,4.0,3.0,0.0,False,854.57
92,santiago de surco,Comprar,departamento,79.0,-76.989958,-12.170531524104822,7.0,2.0,2.0,0.0,False,120000.0
93,miraflores,Comprar,departamento,140.0,-77.03614499999999,-12.125390041032448,10.0,4.0,3.0,2.0,False,235000.0
94,miraflores,Alquilar,departamento,500.0,-77.02668680000002,-12.129030199999999,9.0,3.0,2.0,2.0,False,9000.0
95,la molina,Comprar,departamento,64.0,-76.9378431,-12.1004007,11.0,3.0,3.0,1.0,False,70000.0
96,san isidro,Comprar,casa,75.0,-77.02885129999999,-12.1008172,45.0,4.0,4.0,1.0,False,634.824
97,miraflores,Alquilar,departamento,104.0,-77.032455,-12.1179937,7.0,3.0,3.0,1.0,False,488.326
98,santiago de surco,Comprar,departamento,607.0,-76.9885855,-12.1488371,4.0,2.0,2.0,1.0,False,1660308.256
99,san borja,Comprar,departamento,64.0,-77.0117657,-12.1055278,6.0,4.0,3.0,1.0,False,104501.755
100,lima,Comprar,departamento,84.0,-77.05026109999999,-12.047264,6.0,2.0,3.0,0.0,False,205800.0
101,san borja,Alquilar,departamento,500.0,-76.9871114,-12.0880911,1.0,2.0,3.0,2.0,False,3955900.0
102,san miguel,Alquilar,departamento,120.0,-77.09903419999998,-12.084455,4.0,2.0,3.0,1.0,True,194732.184
103,barranco,Alquilar,departamento,300.0,-77.0226105,-12.143444500000001,14.0,2.0,1.0,1.0,False,2000.0
104,miraflores,Alquilar,departamento,260.0,-77.01767609999999,-12.1275993,50.0,1.0,2.0,0.0,False,434365.939
105,san borja,Comprar,casa,71.0,-76.98062159999998,-12.106613900000001,10.0,4.0,4.0,3.0,True,104501.755
106,lince,Comprar,departamento,150.0,-77.0286983,-12.0857485,0.0,2.0,2.0,0.0,False,355000.0
107,lince,Comprar,departamento,95.0,-77.0286983,-12.0857485,0.0,2.0,3.0,0.0,False,245000.0
108,la molina,Alquilar,departamento,85.0,-76.9354922,-12.115647099999999,10.0,1.0,2.0,0.0,False,850.0
109,san borja,Comprar,departamento,81.0,-76.98729860000002,-12.0836644,28.0,2.0,3.0,1.0,False,140000.0
110,san borja,Comprar,departamento,107.0,-76.99319129999998,-12.0867985,21.0,1.0,3.0,0.0,False,573.783
111,miraflores,Comprar,departamento,297.0,-77.00542829999998,-12.130727499999999,13.0,2.0,3.0,2.0,False,690000.0
112,santiago de surco,Comprar,departamento,78.0,-77.01259639999998,-12.131799699999998,7.0,3.0,3.0,2.0,False,130000.0
113,lince,Comprar,departamento,85.0,-77.0286983,-12.0857485,0.0,2.0,3.0,0.0,False,158000.0
114,miraflores,Comprar,departamento,122.0,-77.0455343,-12.1121584,4.0,2.0,3.0,2.0,False,775.0
115,miraflores,Comprar,departamento,302.0,-77.03509040000002,-12.1263178,12.0,2.0,2.0,1.0,False,2200.0
116,miraflores,Alquilar,departamento,143.0,-77.029808,-12.127838699999998,11.0,2.0,1.0,1.0,False,420000.0
117,lince,Comprar,departamento,70.0,-77.0574075,-12.064896899999999,2.0,1.0,1.0,0.0,False,292.996
118,san isidro,Comprar,departamento,175.0,-77.0376828,-12.102975599999999,0.0,3.0,3.0,1.0,False,1500.0
119,san isidro,Alquilar,departamento,175.0,-77.04732810000002,-12.0941455,5.0,2.0,3.0,1.0,False,1500.0
120,santiago de surco,Comprar,departamento,166.0,-76.9764124,-12.1288893,11.0,3.0,3.0,2.0,False,240000.0
121,santiago de surco,Comprar,departamento,85.0,-76.967945,-12.1049319,27.0,1.0,2.0,0.0,False,537.159
122,santiago de surco,Alquilar,departamento,65.0,-76.9568175,-12.1084644,15.0,2.0,3.0,1.0,False,93000.0
123,santiago de surco,Comprar,departamento,60.0,-76.960621,-12.106970656026895,13.0,3.0,5.0,3.0,False,390.661
124,santiago de surco,Alquilar,departamento,254.0,-76.98904,-12.118315300200967,15.0,2.0,3.0,1.0,False,435000.0
125,santiago de surco,Comprar,casa,90.0,-76.963899,-12.1075323,22.0,4.0,4.0,3.0,False,463.91
126,santiago de surco,Comprar,casa,80.0,-76.958973,-12.105996143038135,6.0,4.0,4.0,4.0,False,329.62
127,santiago de surco,Comprar,departamento,60.0,-76.958384,-12.107157088351677,16.0,2.0,2.0,1.0,False,317.412
128,santiago de surco,Comprar,departamento,1.0,-76.96922479999998,-12.1096521,17.0,2.0,3.0,1.0,False,31000.0
129,san isidro,Alquilar,departamento,135.0,-77.012745,-12.100935377432526,8.0,2.0,3.0,0.0,False,537.159
130,san borja,Alquilar,departamento,110.0,-76.987673,-12.108543176224787,12.0,3.0,3.0,2.0,True,175000.0
131,magdalena,Comprar,departamento,70.0,-77.05722229999998,-12.096183400000001,7.0,3.0,3.0,2.0,True,183500.0
132,lurin,Alquilar,departamento,45.0,-76.83941039999998,-12.310246099999999,0.0,1.0,2.0,0.0,False,118000.0
133,san isidro,Alquilar,casa,104.0,-77.0302016,-12.1011983,31.0,2.0,3.0,1.0,False,304500.0
134,miraflores,Alquilar,departamento,122.0,-77.035042,-12.125033115359328,5.0,3.0,2.0,1.0,False,231954.83
135,surquillo,Comprar,departamento,94.0,-77.0210611,-12.102974099999999,30.0,1.0,2.0,0.0,False,200000.0
136,san borja,Alquilar,departamento,120.0,-77.000558,-12.10198663669374,5.0,1.0,1.0,0.0,False,265000.0
137,san miguel,Comprar,casa,150.0,-77.0973193,-12.077955900000001,4.0,5.0,5.0,2.0,True,459900.0
138,pueblo libre,Alquilar,departamento,173.0,-77.0650651,-12.0700773,4.0,2.0,3.0,1.0,False,519000.0
139,lima,Alquilar,departamento,113.0,-77.079851,-12.050087255112492,5.0,2.0,3.0,0.0,False,213154.28
140,santiago de surco,Alquilar,departamento,603.0,-76.996139,-12.132550638388384,5.0,2.0,2.0,0.0,False,2800.0
141,santiago de surco,Comprar,departamento,165.0,-76.9558608,-12.1073424,17.0,3.0,3.0,1.0,False,1000.0
142,san isidro,Comprar,departamento,49.0,-77.029193,-12.096528,0.0,2.0,2.0,1.0,False,98290.249
143,san isidro,Comprar,departamento,49.0,-77.028959,-12.09598,0.0,1.0,1.0,0.0,False,98290.0
144,san isidro,Comprar,departamento,67.0,-77.02966500000001,-12.097325,0.0,2.0,3.0,1.0,False,96493.0
145,miraflores,Comprar,departamento,68.0,-77.02521,-12.135672999999999,0.0,3.0,3.0,3.0,False,97860.0
146,miraflores,Comprar,departamento,60.0,-77.015681,-12.121879,0.0,3.0,3.0,4.0,True,93621.0
147,santiago de surco,Comprar,departamento,67.0,-76.990335,-12.112503,0.0,2.0,3.0,2.0,False,97176.0
148,lima,Comprar,departamento,63.0,-77.024908,-12.142966,0.0,2.0,2.0,1.0,False,93953.0
149,miraflores,Comprar,departamento,105.0,-77.02770100000001,-12.133488999999999,0.0,2.0,2.0,2.0,False,1000.0
150,lima,Comprar,departamento,142.0,-76.999269,-12.107896,0.0,2.0,2.0,1.0,True,323000.0
151,lima,Comprar,departamento,267.0,-76.999269,-12.107707000000001,0.0,2.0,3.0,1.0,True,850000.0
152,miraflores,Comprar,departamento,155.0,-77.037079,-12.110253,0.0,2.0,3.0,2.0,False,330000.0
153,miraflores,Comprar,departamento,237.0,-77.02770100000001,-12.133488999999999,0.0,3.0,3.0,2.0,False,535000.0
154,miraflores,Comprar,departamento,103.0,-77.02171899999999,-12.121447875603465,0.0,2.0,3.0,2.0,False,850.0
155,san isidro,Comprar,departamento,100.0,-77.012247,-12.098524000000001,0.0,2.0,3.0,1.0,False,900.0
156,san miguel,Alquilar,departamento,270.0,-77.094534,-12.086363135959179,6.0,2.0,3.0,0.0,True,580000.0
157,la molina,Alquilar,departamento,140.0,-76.9598165,-12.068005099999999,24.0,5.0,4.0,1.0,False,220000.0
158,san miguel,Comprar,departamento,140.0,-77.0817833,-12.079690300000001,0.0,2.0,1.0,0.0,False,178000.0
159,san miguel,Comprar,departamento,146.0,-77.0817833,-12.079690300000001,0.0,2.0,1.0,0.0,False,298855.486
160,san miguel,Comprar,departamento,140.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,285000.0
161,san miguel,Comprar,departamento,78.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,173000.0
162,san miguel,Comprar,departamento,168.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,345000.0
163,san miguel,Comprar,departamento,124.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,300000.0
164,miraflores,Alquilar,departamento,100.0,-77.040082,-12.122947300000002,5.0,2.0,1.0,1.0,False,120000.0
165,miraflores,Comprar,departamento,90.0,-77.03135999999999,-12.114888865047744,1.0,2.0,3.0,2.0,False,210000.0
166,san isidro,Comprar,departamento,537.0,-77.04879629999998,-12.097923300000001,6.0,4.0,4.0,3.0,False,330000.0
167,san isidro,Comprar,departamento,4.0,-77.01306600000001,-12.103682516598125,3.0,3.0,3.0,4.0,False,179000.0
168,san isidro,Comprar,departamento,195.0,-77.050135,-12.096656811672167,6.0,2.0,3.0,3.0,False,76911.338
169,lince,Alquilar,departamento,125.0,-77.037203,-12.090681607613288,10.0,2.0,2.0,1.0,False,1000.0
170,miraflores,Alquilar,departamento,75.0,-77.0289646,-12.127882199999998,8.0,2.0,2.0,2.0,False,165000.0
171,san borja,Comprar,casa,45.0,-76.996105,-12.089883500000001,50.0,4.0,5.0,4.0,False,590.0
172,villa el salvador,Comprar,casa,84.0,-76.95463690000001,-12.2149339,0.0,2.0,4.0,0.0,False,659.24
173,villa el salvador,Comprar,casa,179.0,-76.94450119999998,-12.2259308,18.0,2.0,4.0,0.0,False,292000.0
174,san isidro,Comprar,departamento,147.0,-77.0430196,-12.0919266,0.0,3.0,3.0,1.0,False,219000.0
175,santiago de surco,Comprar,departamento,65.0,-76.9802926,-12.1108239,10.0,3.0,3.0,2.0,False,850.0
176,barranco,Comprar,departamento,61.0,-77.0189178,-12.1319461,37.0,2.0,3.0,1.0,False,147000.0
177,santiago de surco,Comprar,departamento,75.0,-76.98011590000002,-12.1110034,10.0,3.0,3.0,2.0,False,107431.0
178,santiago de surco,Comprar,departamento,135.0,-76.9911563,-12.115003,0.0,3.0,3.0,2.0,False,289000.0
179,miraflores,Comprar,departamento,60.0,-77.0375147,-12.113280300000001,0.0,3.0,2.0,2.0,False,112534.717
180,breña,Comprar,casa,136.0,-77.04870240000001,-12.0521485,0.0,1.0,3.0,0.0,False,976.652
181,surquillo,Comprar,departamento,78.0,-77.00779800000002,-12.1185489,5.0,3.0,3.0,1.0,True,1600.0
182,san borja,Comprar,departamento,280.0,-77.00012009999998,-12.0936867,0.0,3.0,2.0,1.0,False,550000.0
183,santa maria del mar,Comprar,casa,350.0,-76.77349099999998,-12.4006362,0.0,5.0,5.0,2.0,True,2750.0
184,san isidro,Comprar,departamento,239.0,-77.036125,-12.103192757687767,18.0,2.0,2.0,1.0,False,185000.0
185,santiago de surco,Comprar,departamento,220.0,-76.972179,-12.115747099999998,20.0,3.0,3.0,1.0,False,500000.0
186,miraflores,Alquilar,departamento,107.0,-77.0282272,-12.1286819,4.0,3.0,2.0,2.0,False,1700.0
187,santiago de surco,Comprar,departamento,220.0,-76.97226619999998,-12.115867999999999,3.0,2.0,1.0,2.0,False,500000.0
188,san borja,Alquilar,departamento,308.0,-76.98150849999998,-12.091830999999999,10.0,2.0,2.0,1.0,False,850000.0
189,santiago de surco,Comprar,departamento,153.0,-76.96508809999999,-12.0866339,18.0,3.0,3.0,2.0,True,370000.0
190,santiago de surco,Comprar,departamento,87.0,-76.9714672,-12.1245815,5.0,2.0,3.0,2.0,False,149000.0
191,san isidro,Comprar,casa,64.0,-77.0574718,-12.0986648,41.0,5.0,4.0,3.0,False,84000.0
192,lima,Comprar,departamento,5525.0,-77.0367114,-12.0441641,49.0,1.0,2.0,0.0,False,966875.0
193,chorrillos,Alquilar,departamento,100.0,-77.0106179,-12.180767999999999,17.0,3.0,3.0,1.0,False,170000.0
194,chorrillos,Comprar,departamento,85.0,-77.01133879999998,-12.1814151,17.0,3.0,3.0,1.0,False,500.0
195,magdalena,Comprar,departamento,110.0,-77.06291,-12.09958902350388,0.0,2.0,2.0,1.0,True,200000.0
196,lima,Comprar,departamento,113.0,-77.0318908,-12.074520199999998,0.0,2.0,3.0,0.0,False,800.0
197,lima,Comprar,departamento,116.0,-77.0318908,-12.074520199999998,0.0,2.0,3.0,0.0,False,900.0
198,santiago de surco,Comprar,departamento,138.0,-76.9963144,-12.1220811,0.0,2.0,3.0,2.0,False,135000.0
199,santiago de surco,Comprar,departamento,69.0,-76.97715500000001,-12.1071707,0.0,2.0,2.0,1.0,False,85457.043
200,santiago de surco,Alquilar,departamento,83.0,-76.974469,-12.1063151,7.0,4.0,3.0,2.0,True,66500.0
201,santiago de surco,Comprar,departamento,102.0,-76.98032760000002,-12.1151259,21.0,4.0,4.0,4.0,False,130000.0
202,barranco,Alquilar,departamento,77.0,-77.0232178,-12.142308,10.0,4.0,4.0,1.0,False,67300.0
203,chaclacayo,Comprar,casa,224.0,-76.777231,-11.978584948728932,47.0,5.0,5.0,1.0,False,109000.0
204,san borja,Comprar,casa,102.0,-77.000003,-12.091619000736207,50.0,4.0,6.0,2.0,False,131000.0
205,santiago de surco,Comprar,casa,72.0,-76.97079440000002,-12.104925999999999,15.0,3.0,3.0,2.0,False,130000.0
206,miraflores,Alquilar,departamento,137.0,-77.009022,-12.122923199999999,5.0,2.0,2.0,2.0,False,270000.0
207,santiago de surco,Comprar,casa,91.0,-76.97170600000001,-12.1141992488774,15.0,3.0,3.0,2.0,False,109629.177
208,lince,Comprar,departamento,70.0,-77.046646,-12.086341871918302,0.0,3.0,3.0,0.0,False,113000.0
209,miraflores,Comprar,departamento,104.0,-77.0400516,-12.117134199999999,2.0,2.0,3.0,1.0,False,89000.0
210,san isidro,Comprar,departamento,70.0,-77.05736999999999,-12.093893722942404,5.0,4.0,3.0,2.0,True,96000.0
211,miraflores,Comprar,casa,89.0,-77.00906859999998,-12.121917800000002,10.0,3.0,3.0,3.0,False,149000.0
212,miraflores,Comprar,casa,80.0,-77.0400516,-12.117134199999999,2.0,2.0,3.0,1.0,False,427.285
213,miraflores,Comprar,casa,66.0,-77.02757129999998,-12.1215439,0.0,2.0,5.0,2.0,False,105000.0
214,miraflores,Comprar,departamento,366.0,-77.04988540000001,-12.1104825,5.0,2.0,3.0,1.0,False,580000.0
215,pueblo libre,Comprar,casa,190.0,-77.0596541,-12.0788859,41.0,4.0,5.0,2.0,False,190000.0
216,chorrillos,Comprar,departamento,240.0,-77.0091015,-12.1742841,6.0,2.0,2.0,0.0,False,370000.0
217,magdalena,Comprar,departamento,104.0,-77.0630484,-12.0911483,25.0,1.0,2.0,1.0,False,88000.0
218,punta negra,Comprar,casa,130.0,-76.497235,-12.988908628863893,7.0,2.0,4.0,1.0,True,275000.0
219,lima,Comprar,departamento,100.0,-77.07520699999999,-12.063516626794057,40.0,2.0,3.0,0.0,False,189665.0
220,san miguel,Comprar,departamento,120.0,-77.0817833,-12.079690300000001,0.0,2.0,3.0,0.0,False,800000.0
221,san juan de lurigancho,Comprar,departamento,234.0,-77.007805,-12.020876263201925,27.0,1.0,2.0,0.0,False,2000.0
222,carabayllo,Comprar,casa,74.0,-77.05726240000001,-12.0041889,35.0,3.0,6.0,0.0,False,150000.0
223,chorrillos,Comprar,casa,110.0,-77.00548,-12.18208949270102,25.0,3.0,3.0,1.0,False,155500.0
224,san juan de lurigancho,Comprar,departamento,78.0,-77.007779,-12.020884137193468,27.0,1.0,2.0,0.0,False,103000.0
225,san juan de lurigancho,Comprar,casa,69.0,-76.97671899999999,-11.964131853754491,10.0,4.0,9.0,0.0,False,104990.081
226,chorrillos,Comprar,casa,160.0,-77.00548,-12.182110467186439,25.0,3.0,3.0,1.0,False,300000.0
227,miraflores,Comprar,departamento,100.0,-77.0263858,-12.117714999999999,6.0,1.0,1.0,1.0,True,185000.0
228,san isidro,Comprar,departamento,139.0,-77.0426945,-12.094649,5.0,3.0,3.0,2.0,True,310000.0
229,santiago de surco,Comprar,departamento,400.0,-76.988276,-12.1648832,14.0,2.0,3.0,1.0,False,700000.0
230,pueblo libre,Comprar,departamento,28.0,-77.07912859999998,-12.0741679,0.0,2.0,2.0,0.0,True,415.077
231,callao,Comprar,departamento,88.0,-77.12766289999998,-12.0543754,0.0,1.0,3.0,0.0,False,250000.0
232,san miguel,Comprar,departamento,40.0,-77.1020448,-12.0730711,0.0,1.0,3.0,0.0,False,382.0
233,san miguel,Comprar,departamento,84.0,-77.076637,-12.082119127944775,2.0,2.0,3.0,0.0,False,78800.0
234,chorrillos,Alquilar,departamento,75.0,-76.9983075,-12.171506599999999,4.0,2.0,3.0,0.0,False,110000.0
235,surquillo,Comprar,departamento,82.0,-77.021158,-12.1065333,15.0,2.0,3.0,1.0,False,170000.0
236,santiago de surco,Comprar,casa,120.0,-77.00510609999998,-12.1366288,0.0,1.0,5.0,1.0,False,275000.0
237,rimac,Comprar,casa,72.0,-77.0337569,-12.0317255,0.0,1.0,4.0,0.0,False,86000.0
