,location.district,operation_type.name,property_type,build_area,longitud,latitud,years_old,bathrooms,bedrooms,garages,has_swimming_pool,usd_price
9680,la molina,Comprar,casa,245.0,-76.9434208,-12.062494699999998,25.0,2.0,4.0,2.0,False,823441.0
9681,san isidro,Alquilar,departamento,170.0,-77.04655179999999,-12.09517,0.0,2.0,3.0,2.0,False,12000.0
9682,santiago de surco,Comprar,departamento,108.0,-76.965496,-12.086854210917863,10.0,5.0,3.0,2.0,False,1750.0
9683,miraflores,Comprar,departamento,204.0,-76.9710066,-12.172291099999999,10.0,2.0,3.0,2.0,False,2400.0
9684,miraflores,Alquilar,departamento,143.0,-77.0290602,-12.1296353,9.0,2.0,3.0,2.0,False,2400.0
9685,santiago de surco,Comprar,departamento,130.0,-76.96508809999999,-12.0866339,10.0,5.0,3.0,2.0,False,2200.0
9686,santiago de surco,Comprar,casa,157.0,-76.9656054,-12.1210814,40.0,4.0,3.0,3.0,False,345000.0
9687,la molina,Comprar,casa,140.0,-76.9424209,-12.069362599999998,10.0,3.0,4.0,2.0,True,950.0
9688,barranco,Alquilar,departamento,235.0,-77.0192368,-12.135848900000001,5.0,2.0,2.0,1.0,True,806200.0
9689,santiago de surco,Alquilar,departamento,138.0,-77.00448459999998,-12.1385837,20.0,1.0,2.0,0.0,False,145625.0
9690,pueblo libre,Alquilar,departamento,690.0,-77.05744820000001,-12.078719,5.0,2.0,2.0,0.0,False,1650000.0
9691,santiago de surco,Alquilar,casa,386.0,-76.9848052,-12.127167,30.0,4.0,4.0,0.0,False,7000.0
9692,magdalena,Alquilar,departamento,494.0,-77.041845,-12.060950300000002,3.0,3.0,2.0,1.0,False,6500.0
9693,san martin de porres,Comprar,departamento,330.0,-77.089389,-11.992539985468195,0.0,3.0,3.0,0.0,False,3500.0
9694,san isidro,Alquilar,departamento,235.0,-77.030215,-12.098920691029791,20.0,1.0,2.0,2.0,False,907700.0
9695,pueblo libre,Comprar,departamento,450.0,-77.069867,-12.077520464279717,5.0,1.0,1.0,0.0,False,3800.0
9696,santiago de surco,Alquilar,departamento,65.0,-76.9702958,-12.0998713,8.0,3.0,3.0,0.0,False,570.0
9697,san miguel,Alquilar,departamento,568.0,-77.08978,-12.079358868688773,1.0,1.0,3.0,0.0,False,890000.0
9698,san miguel,Comprar,departamento,710.0,-77.099755,-12.067735214300226,10.0,2.0,4.0,1.0,False,2600000.0
9699,san borja,Comprar,departamento,402.0,-76.99517,-12.096524835264507,0.0,2.0,3.0,1.0,False,2000.0
9700,santiago de surco,Alquilar,departamento,400.0,-76.965323,-12.09460041741032,25.0,4.0,4.0,1.0,False,1200000.0
9701,santiago de surco,Comprar,departamento,580.0,-76.972993,-12.12878637456005,15.0,3.0,4.0,2.0,False,1100000.0
